数据年月,商品编码,商品名称,人民币
202501,102,牛,11231042
202501,103,猪,15372776
202501,104,绵羊、山羊,174400
202501,105,家禽，即鸡、鸭、鹅、...,1190821
202501,106,其他活动物,31380603
202501,201,鲜、冷牛肉,3801778
202501,202,冻牛肉,4079949
202501,203,鲜、冷、冻猪肉,82980677
202501,204,鲜、冷、冻绵羊肉或山...,14612884
202501,205,鲜、冷、冻马、驴、骡...,4459820
202501,206,鲜、冷、冻牛、猪、绵...,5486313
202501,207,品目0105所列家禽...,525692210
202501,208,其他鲜、冷、冻肉及食...,19041689
202501,209,未炼制或用其他方法提...,105954
202501,210,肉及食用杂碎，干、熏...,7320125
202501,301,活鱼,324492023
202501,302,鲜、冷鱼，但品目03...,131492379
202501,303,冻鱼，但品目03.0...,1964105203
202501,304,鲜、冷、冻鱼片及其他...,2767261847
202501,305,干、盐腌或盐渍的鱼；...,311752954
202501,306,活、鲜、冷、冻、干、...,579002660
202501,307,活、鲜、冷、冻、干、...,1841035076
202501,308,不属于甲壳动物及软体...,36359610
202501,309,适合供人食用的鱼、甲...,1308170
202501,401,未浓缩及未加糖或其他...,15839289
202501,402,浓缩、加糖或其他甜物...,95170527
202501,403,酸乳；酪乳、结块的乳...,9499380
202501,404,乳清，不论是否浓缩、...,971880
202501,405,黄油及其他从乳提取的...,14758959
202501,406,乳酪及凝乳,2427859
202501,407,带壳禽蛋，鲜、腌制或...,158911332
202501,408,去壳禽蛋及蛋黄，鲜、...,36247138
202501,409,天然蜂蜜,166066916
202501,410,其他品目未列名的昆虫...,45958557
202501,502,猪鬃、猪毛；獾毛及其...,25536155
202501,504,整个或切块的动物（鱼...,643898494
202501,505,带有羽毛或羽绒的鸟皮...,599652627
202501,506,骨及角柱，未经加工或...,8100
202501,507,兽牙、龟壳、鲸须、鲸...,10946249
202501,508,珊瑚及类似品，未经加...,7363025
202501,510,龙涎香、海狸香、灵猫...,1576433
202501,511,未列名的动物产品；不...,99090616
202501,601,鳞茎、块茎、块根、球...,2089697
202501,602,其他活植物（包括其根...,301653429
202501,603,制花束或装饰用的插花...,125764716
202501,604,制花束或装饰用的不带...,40585075
202501,701,鲜或冷藏的马铃薯,127956292
202501,702,鲜或冷藏的番茄,48875767
202501,703,鲜或冷藏洋葱、青葱、...,1972130948
202501,704,鲜或冷藏的卷心菜、菜...,353963731
202501,705,鲜或冷藏的莴苣及菊苣,85879120
202501,706,鲜或冷藏的胡萝卜、芜...,258476567
202501,707,鲜或冷藏的黄瓜及小黄...,33821365
202501,708,鲜或冷藏的豆类蔬菜，...,105219557
202501,709,鲜或冷藏的其他蔬菜,612686073
202501,710,冷冻蔬菜（不论是否蒸...,1135133138
202501,711,暂时保藏的蔬菜，但不...,119157551
202501,712,干蔬菜，整个、切块、...,1493841888
202501,713,脱荚的干豆，不论是否...,290568539
