数据年月,商品编码,商品名称,美元
201709,0101,马、驴、骡,26000
201709,0102,牛,5269826
201709,0103,猪,38579100
201709,0104,绵羊、山羊,84459
201709,0105,家禽，即鸡、鸭、鹅、...,61441
201709,0106,其他活动物,2658550
201709,0202,冻牛肉,372992
201709,0203,鲜、冷、冻猪肉,17283650
201709,0204,鲜、冷、冻绵羊肉或山...,1554171
201709,0206,鲜、冷、冻牛、猪、绵...,3195
201709,0207,品目0105所列家禽...,42998388
201709,0208,其他鲜、冷、冻肉及食...,3116625
201709,0209,未炼制或用其他方法提...,24996
201709,0210,肉及食用杂碎，干、熏...,608270
201709,0301,活鱼,38498455
201709,0302,鲜、冷鱼，但品目03...,5818475
201709,0303,冻鱼，但品目0304...,219272169
201709,0304,鲜、冷、冻鱼片及其他...,355079532
201709,0305,干、盐腌或盐渍的鱼；...,49148731
201709,0306,活、鲜、冷、冻、干、...,129216929
201709,0307,活、鲜、冷、冻、干、...,226594481
201709,0308,不属于甲壳动物及软体...,8011814
201709,0401,未浓缩及未加糖或其他...,2495804
201709,0402,浓缩、加糖或其他甜物...,1227561
201709,0403,酪乳、结块的乳及奶油...,360525
201709,0404,乳清，不论是否浓缩、...,26110
201709,0405,黄油及其他从乳提取的...,932452
201709,0406,乳酪及凝乳,148649
201709,0407,带壳禽蛋，鲜、腌制或...,13896530
201709,0408,去壳禽蛋及蛋黄，鲜、...,2507461
201709,0409,天然蜂蜜,25332802
201709,0410,其他编号未列名的食用...,7065831
201709,0502,猪鬃、猪毛；獾毛及其...,12529219
201709,0504,整个或切块的动物（鱼...,104237997
201709,0505,带有羽毛或羽绒的鸟皮...,50583772
201709,0507,兽牙、龟壳、鲸须、鲸...,1440882
201709,0508,珊瑚及类似品，未经加...,527995
201709,0510,龙涎香、海狸香、灵猫...,267967
201709,0511,未列名的动物产品；不...,9410093
201709,0601,鳞茎、块茎、块根、球...,30450
201709,0602,其他活植物（包括其根...,13801587
201709,0603,制花束或装饰用的插花...,11572899
201709,0604,制花束或装饰用的不带...,5476199
201709,0701,鲜或冷藏的马铃薯,28542471
201709,0702,鲜或冷藏的番茄,10518777
201709,0703,鲜或冷藏洋葱、青葱、...,197425702
201709,0704,鲜或冷藏的卷心菜、菜...,44612910
201709,0705,鲜或冷藏的莴苣及菊苣,7682009
201709,0706,鲜或冷藏的胡萝卜、萝...,45833577
201709,0707,鲜或冷藏的黄瓜及小黄...,2570111
201709,0708,鲜或冷藏的豆类蔬菜，...,2420035
201709,0709,鲜或冷藏的其他蔬菜,75096837
201709,0710,冷冻蔬菜（不论是否蒸...,90324498
201709,0711,暂时保藏（例如，使用...,12391818
201709,0712,干蔬菜，整个、切块、...,357612072
201709,0713,脱荚的干豆，不论是否...,27188176
201709,0714,鲜、冷、冻或干的木薯...,15844027
201709,0801,鲜或干的椰子、巴西果...,45441
201709,0802,鲜或干的其他坚果，不...,30231079
201709,0803,鲜或干的香蕉，包括芭...,2287923
201709,0804,鲜或干的椰枣、无花果...,8094995
201709,0805,鲜或干的柑桔属水果,41151672
201709,0806,鲜或干的葡萄,160287853
201709,0807,鲜的甜瓜（包括西瓜）...,24246183
201709,0808,鲜的苹果、梨及榅桲,177621031
201709,0809,鲜的杏、樱桃、桃（包...,10686757
201709,0810,其他鲜果,40748083
201709,0811,冷冻水果及坚果，不论...,22744703
201709,0812,暂时保藏（例如，使用...,3093050
201709,0813,品目0801至080...,7341280
201709,0814,柑桔属水果或甜瓜（包...,295330
201709,0901,咖啡，不论是否焙炒或...,9254697
201709,0902,茶，不论是否加香料,147414551
201709,0904,胡椒；辣椒干及辣椒粉,32488589
201709,0906,肉桂及肉桂花,10655998
201709,0907,丁香（母丁香、公丁香...,25109
201709,0908,肉豆蔻、肉豆蔻衣及豆...,260501
201709,0909,茴芹子、八角茴香、小...,2065618
201709,0910,姜、番红花、姜黄、麝...,42253989
201709,1001,小麦及混合麦,643
201709,1003,大麦,3841
201709,1005,玉米,337403
