数据年月,商品编码,商品名称,人民币
202502,0101,马、驴、骡,34192506
202502,0106,其他活动物,24922075
202502,0201,鲜、冷牛肉,396651407
202502,0202,冻牛肉,6779447035
202502,0203,鲜、冷、冻猪肉,1233861209
202502,0204,鲜、冷、冻绵羊肉或山...,908084036
202502,0205,鲜、冷、冻马、驴、骡...,11954065
202502,0206,鲜、冷、冻牛、猪、绵...,1337966969
202502,0207,品目0105所列家禽...,1647437223
202502,0208,其他鲜、冷、冻肉及食...,7783583
202502,0209,未炼制或用其他方法提...,5603905
202502,0210,肉及食用杂碎，干、熏...,9418798
202502,0301,活鱼,142123529
202502,0302,鲜、冷鱼，但品目03...,754089257
202502,0303,冻鱼，但品目03.0...,2286897610
202502,0304,鲜、冷、冻鱼片及其他...,183877181
202502,0305,干、盐腌或盐渍的鱼；...,146774557
202502,0306,活、鲜、冷、冻、干、...,5213337058
202502,0307,活、鲜、冷、冻、干、...,611401077
202502,0308,不属于甲壳动物及软体...,19178162
202502,0309,适合供人食用的鱼、甲...,333474
202502,0401,未浓缩及未加糖或其他...,827044478
202502,0402,浓缩、加糖或其他甜物...,2023686802
202502,0403,酸乳；酪乳、结块的乳...,20422007
202502,0404,乳清，不论是否浓缩、...,478051853
202502,0405,黄油及其他从乳提取的...,1035694266
202502,0406,乳酪及凝乳,581046640
202502,0409,天然蜂蜜,19767611
202502,0410,其他品目未列名的昆虫...,352968116
202502,0504,整个或切块的动物（鱼...,421824487
202502,0505,带有羽毛或羽绒的鸟皮...,95294906
202502,0506,骨及角柱，未经加工或...,15300538
202502,0507,兽牙、龟壳、鲸须、鲸...,34535399
202502,0508,珊瑚及类似品，未经加...,16036181
202502,0510,龙涎香、海狸香、灵猫...,50656
202502,0511,未列名的动物产品；不...,53077109
202502,0601,鳞茎、块茎、块根、球...,25377657
202502,0602,其他活植物（包括其根...,25359680
202502,0603,制花束或装饰用的插花...,35307040
202502,0604,制花束或装饰用的不带...,2516981
202502,0703,鲜或冷藏洋葱、青葱、...,6614318
202502,0708,鲜或冷藏的豆类蔬菜，...,36818522
202502,0709,鲜或冷藏的其他蔬菜,28362218
202502,0710,冷冻蔬菜（不论是否蒸...,9292760
202502,0711,暂时保藏的蔬菜，但不...,2405132
202502,0712,干蔬菜，整个、切块、...,15898432
202502,0713,脱荚的干豆，不论是否...,659331949
202502,0714,鲜、冷、冻或干的木薯...,502462869
202502,0801,鲜或干的椰子、巴西果...,306454889
202502,0802,鲜或干的其他坚果，不...,676359063
202502,0803,鲜或干的香蕉，包括芭...,580650160
202502,0804,鲜或干的椰枣、无花果...,525375712
202502,0805,鲜或干的柑桔属水果,63608183
202502,0806,鲜或干的葡萄,186253676
202502,0807,鲜的甜瓜（包括西瓜）...,76818495
202502,0808,鲜的苹果、梨及榅桲,26660386
202502,0809,鲜的杏、樱桃、桃（包...,5385814174
202502,0810,其他鲜果,1602465282
202502,0811,冷冻水果及坚果，不论...,253996675
202502,0812,暂时保藏的水果及坚果...,1248999
202502,0813,品目0801至080...,146421911
202502,0814,柑桔属水果或甜瓜（包...,331434
202502,0901,咖啡，不论是否焙炒或...,660301375
202502,0902,茶，不论是否加香料,75007480
202502,0903,马黛茶,548396
202502,0904,胡椒；辣椒干及辣椒粉,252928254
202502,0905,香子兰豆,1508290
202502,0906,肉桂及肉桂花,1152253
202502,0907,丁香（母丁香、公丁香...,37874486
202502,0908,肉豆蔻、肉豆蔻衣及豆...,68825243
202502,0909,茴芹子、八角茴香、小...,101085938
202502,0910,姜、番红花、姜黄、麝...,18453778
202502,1001,小麦及混合麦,138881476
202502,1003,大麦,1245366228
202502,1004,燕麦,129989526
202502,1005,玉米,147707024
202502,1006,稻谷、大米,380644325
202502,1007,食用高粱,1209341499
202502,1008,荞麦、谷子及加那利草...,41955113
202502,1101,小麦或混合麦的细粉,40163868
202502,1102,其他谷物细粉，但小麦...,20266118
