Date of data,Commodity code,Commodity,Renminbi Yuan
201612,10290,Other live bovine animals,46583986.0
201612,10310,Purebred breeding swine,254688.0
201612,10391,"Other lives wine,weighing less than 50 kg",5132805.0
201612,10392,"Other lives wine,weighing 50 kg or more",535289144.0
201612,10420,Goats,1724155.0
201612,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",796766.0
201612,10594,"Fowls of the species Gallus domesticus,weighing more than 185 g",16355998.0
201612,10611,Primates,20548850.0
201612,10619,Other mammals,2412965.0
201612,10620,Reptiles (including snakes and turtles),3985191.0
201612,10639,Other birds,2704132.0
201612,10649,Other insects,35025.0
201612,10690,Other lives animals,471520.0
201612,20220,Other cuts with bone in,517316.0
201612,20230,Boneless,5977784.0
201612,20312,"Hams, shoulders and cuts thereof, with bone in",7957149.0
201612,20319,Other fresh or chilled meat of swine,14658332.0
201612,20321,Carcasses and halfcarcasses,2177659.0
201612,20329,Other frozen meat of swine,149419997.0
201612,20441,"Carcasses and halfcarcasses,frozen",519216.0
201612,20442,"Other cuts with bone in,frozen",7316801.0
201612,20443,"Boneless meat of sheep,frozen",5653832.0
201612,20450,"Meat of goats,frozen",42821488.0
201612,20629,"Other edible offal of bovine animals,frozen",35372.0
201612,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",181226964.0
201612,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",9288620.0
201612,20713,"Cuts and offal, fresh or chilled",1490891.0
201612,20714,"Cuts and offal, frozen",127961098.0
201612,20741,"Ducks,not cut in pieces, fresh or chilled",36704632.0
201612,20742,"Ducks,not cut in pieces, frozen",4568448.0
201612,20745,"Other cuts and offal of ducks, frozen",8043908.0
201612,20751,"Geese,not cut in pieces, fresh or chilled",33468796.0
201612,20752,"Geese,not cut in pieces, frozen",137621.0
201612,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",12360782.0
201612,20890,"Other meat and edible meat offal,fresh, chilled or frozen",8724077.0
201612,21011,"Hams, shoulders and cuts thereof, with bone in",195538.0
201612,21012,Bellies (streaky) and cuts thereof,1234177.0
201612,21019,Other,2679789.0
201612,21020,Meat of bovine animals,725833.0
201612,21099,"Other meat and edible meat offal,salted, in brine, dried or smoked",2068130.0
201612,30111,Ornamental fish of freshwater,2266049.0
201612,30192,Eels (Anguilla spp),86481167.0
201612,30193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",88501958.0
201612,30199,Other,166876508.0
201612,30223,"Sole (Solea spp) ,fresh or chilled",1057425.0
201612,30229,"Other flat fish,fresh or chilled",87969.0
201612,30246,"Cobia (Rachycentron canadum) ,fresh or chilled",793032.0
201612,30272,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) ,fresh or chilled",88132.0
201612,30273,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, fresh or chilledHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",12320.0
201612,30274,"Eels (Anguilla spp) ,fresh or chilled",2150334.0
201612,30282,"Rays and skates (Rajidae) ,fresh or chilled",834286.0
201612,30289,"Other fish,fresh or chilled",85673055.0
201612,30290,-------,147457729.0
201612,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",1960093.0
201612,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",8958887.0
201612,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",1823837.0
201612,30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",1139612.0
201612,30323,"Tilapias (Oreochromis spp) , frozen",180673855.0
201612,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",7589784.0
201612,30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozenHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",1200360.0
201612,30326,"Eels (Anguilla spp) , frozen",6517851.0
201612,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",21822507.0
201612,30332,Frozen plaice,5487017.0
201612,30333,Frozen sole,9450805.0
201612,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",44037580.0
201612,30341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",22262571.0
201612,30342,"Yellowfin tunas (Thunnus albacares),frozen",85232974.0
201612,30343,"Skipjack or stripebellied bonito ,frozen",78997321.0
201612,30344,"Bigeye tunas (Thunnus obesus) ,frozen",41353346.0
201612,30349,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis),frozen",625111.0
201612,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",6418629.0
201612,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",54905273.0
201612,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",374793264.0
201612,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",28550268.0
201612,30356,"Cobia (Rachycentron canadum) ,frozen",2486597.0
201612,30357,"Swordfish (Xiphias gladius) ,frozen",6377108.0
201612,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",1221640.0
201612,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",502589.0
201612,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",35048333.0
201612,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",2093004.0
201612,30381,"Dogfish and other sharks ,frozen",4264544.0
201612,30384,"Seabass (Dicentrarchus spp) ,frozen",2567119.0
201612,30389,"Other fish ,frozen",942126872.0
201612,30390,-------,37250646.0
201612,30439,"Other fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",4222855.0
201612,30451,"Fresh or chilled meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",22658100.0
201612,30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",1131693.0
201612,30461,Frozen fillets of tilapias (Oreochromis spp),354302823.0
201612,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",57640462.0
201612,30463,Frozen fillets of nile Perch (Lates niloticus),6370147.0
201612,30469,"Frozen fillets of carp Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""""",19230529.0
201612,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",462397691.0
201612,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),72543547.0
201612,30473,Frozen fillets of coalfish (Pollachius virens),11521946.0
201612,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",25764069.0
201612,30475,Frozen fillets of alaska Pollack (Theragra chalcogramma),406127263.0
201612,30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",33449891.0
201612,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",439413074.0
201612,30482,"Frozen fillets of trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchusclarki, Oncorhynchus aguabonita, Oncorhynchus gilae,Oncorhynchus apache and Oncorhynchus chrysogaster)",18129925.0
201612,30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",219548005.0
201612,30486,"Frozen fillets of herrings (Clupea harengus, Clupea pallasii)",438398.0
201612,30487,"Frozen fillets of tunas (of the genus Thunnus), skipjack or stripebellied bonito (Euthynnus (Katsuwonus) pelamis)",35976467.0
201612,30489,"Frozen fish fillets, n.e.s.",424235510.0
201612,30491,"Frozen meat, whether or not minced, of swordfish (Xiphias gladius)",1694834.0
201612,30493,"Frozen meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",96049.0
201612,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",3825125.0
201612,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",8808444.0
201612,30499,Frozen fish meat n.e.s. (excluding fillets),196691006.0
201612,30510,"Flours, meals and pellets of fish, fit for human consumption",12521995.0
201612,30520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",22688757.0
201612,30531,"Fillets, dried, salted or in brine, but not smoked, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",6902550.0
201612,30532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",115219222.0
201612,30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",13502873.0
201612,30541,"Smoked Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",99774.0
201612,30543,"Smoked trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",8787631.0
201612,30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, trout, tilapia, catfish, carp, eels, Nile perch and snakeheads)",7949154.0
201612,30551,"Dried cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",11013864.0
201612,30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",80028771.0
201612,30562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus),salted or in brine (excluding fillets and offal)",1724104.0
201612,30569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",11936581.0
201612,30571,"Shark fins, smoked, dried, salted or in brine",7049887.0
201612,30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",5382169.0
201612,30579,"Other fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, tails, maws and shark fins)",1175334.0
201612,30611,"Frozen rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp)",96741.0
201612,30612,Frozen lobsters (Homarus spp),216751.0
201612,30614,Frozen crabs,170469967.0
201612,30615,Frozen norway lobsters (Nephrops norvegicus),2469312.0
201612,30616,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon)",36266704.0
201612,30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",687708532.0
201612,30619,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",7330337.0
201612,30622,-------,1190078.0
201612,30624,-------,28534919.0
201612,30625,-------,187599.0
201612,30626,-------,743071.0
201612,30627,-------,96223346.0
201612,30629,-------,349579.0
201612,30711,"Oysters, live, fresh, chilled",2525884.0
201612,30719,"Oysters, smoked, frozen, dried, salted or in brine",3331310.0
201612,30721,"Live, fresh or chilled, scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, even in shell",7256857.0
201612,30729,"Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, smoked, frozen, dried, salted or in brine, even in shell",339897514.0
201612,30739,"Mussels (Mytilus spp., Perna spp.), smoked, frozen, dried, salted or in brine, with or without shell",4011669.0
201612,30741,-------,4083211.0
201612,30749,"Cuttle fish and squid, smoked, frozen, dried, salted or in brine, with or without shell",1549062152.0
201612,30751,"Live, fresh or chilled, not smoked,octopus (Octopus spp.)",56073793.0
201612,30759,"Octopus (Octopus spp.), smoked, frozen, dried, salted or in brine",195251214.0
201612,30771,"Live, fresh or chilled, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",137226230.0
201612,30779,"Smoked, frozen, dried, salted or in brine, even in shell, clams, cockles and ark shells families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae""""",16300925.0
201612,30781,"Live, fresh or chilled abalone (Haliotis spp)",20730565.0
201612,30789,-------,27517305.0
201612,30791,"Live, fresh or chilled molluscs, fit for human consumption, even in shell (excluding oysters, scallops of the genera Pecten, Chlamys or Placopecten, mussels Mytilus spp., Perna spp."", cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", octopus ""Octopus spp."", snails other than sea snails, clams, cockles and ark shells and abalone); fresh or chilled flours, meals and pellets of molluscs, fit for human consumption""",10606706.0
201612,30799,"Molluscs, fit for human consumption, even in shell, smoked, frozen, dried, salted or in brine (excluding oysters, scallops of the genera Pecten, Chlamys or Placopecten, mussels Mytilus spp., Perna spp."", cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", octopus ""Octopus spp."", snails other than sea snails, clams, cockles and ark shells and abalone); frozen, dried, salted or in brine, flours, meals and pellets of molluscs, fit for human consumption""",183319414.0
201612,30819,"Smoked, dried, salted or in brine, sea cucumbers (Stichopus japonicus, Holothurioidea)",9431474.0
201612,30821,"Live, fresh or chilled, sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",7460243.0
201612,30829,"Smoked, dried, salted or in brine, sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",98265.0
201612,30830,Jellyfish (Rhopilema spp),83085180.0
201612,30890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish); all flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",15604386.0
201612,40120,"Milk and cream of a fat content, by weight, exceeding 1% but not exceeding 6%",12894780.0
201612,40210,"Milk and cream in powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",789091.0
201612,40221,"Not containing added sugar or other sweetening matter, of a fat content, by weight, more than 1.5%",10190952.0
201612,40229,"Milk and cream in solid forms, of a fat content by weight, more than 1,5%, sweetened",5995910.0
201612,40291,"Milk and cream, concentrated but unsweetened (excluding in solid forms)",2365498.0
201612,40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",2303212.0
201612,40310,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",1037852.0
201612,40390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa (excluding yogurt)",970711.0
201612,40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",1524.0
201612,40490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",101860.0
201612,40510,Butter,560567.0
201612,40590,"Fats and oils derived from milk, and dehydrated butter and ghee (excluding natural butter, recombined butter and whey butter)",2129228.0
201612,40690,Other cheese,74182.0
201612,40711,Of fowls of the species Gallus domesticus,345186.0
201612,40721,"Other fresh eggs of fowls of the species Gallus domesticus, in shell",64327491.0
201612,40729,"Other Fresh birds'eggs,in shell",271243.0
201612,40790,"Other birds'eggs, in shell, preserved or cooked",26409310.0
201612,40811,Dried egg yolks,40113.0
201612,40819,Other egg yolks,1086741.0
201612,40891,"Dried birds'eggs, not in shell, whether or not sweetened (excluding egg yolks)",917240.0
201612,40899,"Other birds'eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excluding dried)",3046136.0
201612,40900,atural honey,187002661.0
