Date of data,Commodity code,Commodity,Renminbi Yuan
202002,10290,Other live bovine animals,24434489.0
202002,10392,"Other lives wine,weighing 50 kg or more",239500790.0
202002,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",903335.0
202002,10614,Rabbits and hares,472486.0
202002,10619,Other mammals,3093838.0
202002,10620,Reptiles (including snakes and turtles),3656772.0
202002,10649,Other insects,12390.0
202002,10690,Other lives animals,450129.0
202002,20312,"Hams, shoulders and cuts thereof, with bone in",1725969.0
202002,20319,Other fresh or chilled meat of swine,11994889.0
202002,20321,Carcasses and halfcarcasses,1064213.0
202002,20329,Other frozen meat of swine,28414331.0
202002,20442,"Other cuts with bone in,frozen",2327434.0
202002,20443,"Boneless meat of sheep,frozen",717211.0
202002,20450,"Meat of goats,frozen",4257516.0
202002,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",1624759.0
202002,20629,"Other edible offal of bovine animals,frozen",28851.0
202002,20690,"Other edible offal,frozen",250370.0
202002,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",152621380.0
202002,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",4095582.0
202002,20713,"Cuts and offal, fresh or chilled",3496098.0
202002,20714,"Cuts and offal, frozen",56880837.0
202002,20741,"Ducks,not cut in pieces, fresh or chilled",22863723.0
202002,20742,"Ducks,not cut in pieces, frozen",1458739.0
202002,20744,"Other cuts and offal of ducks, fresh or chilled",211691.0
202002,20745,"Other cuts and offal of ducks, frozen",99014.0
202002,20751,"Geese,not cut in pieces, fresh or chilled",30594017.0
202002,20752,"Geese,not cut in pieces, frozen",18832.0
202002,20754,"Other cuts and offal of geese, fresh or chilled",72869.0
202002,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",9078572.0
202002,20890,"Other meat and edible meat offal,fresh, chilled or frozen",10521178.0
202002,21012,Bellies (streaky) and cuts thereof,111510.0
202002,21019,Other,102909.0
202002,21099,"Other meat and edible meat offal,salted, in brine, dried or smoked",903998.0
202002,30111,Ornamental fish of freshwater,2014053.0
202002,30192,Eels (Anguilla spp),100322005.0
202002,30193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",51946706.0
202002,30199,Other,136981023.0
202002,30223,"Sole (Solea spp) ,fresh or chilled",898953.0
202002,30229,"Other flat fish,fresh or chilled",85712.0
