Date of data,Commodity code,Commodity,Renminbi Yuan
202008,010290,Other live bovine animals,33140698
202008,010392,"Other lives wine,weighing 50 kg or more",331934917
202008,010511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",879878
202008,010614,Rabbits and hares,351983
202008,010619,Other mammals,2612801
202008,010620,Reptiles (including snakes and turtles),6411257
202008,010649,Other insects,14079
202008,010690,Other lives animals,1662
202008,020312,"Hams, shoulders and cuts thereof, with bone in",1590249
202008,020319,Other fresh or chilled meat of swine,8194336
202008,020321,Carcasses and halfcarcasses,2725117
202008,020329,Other frozen meat of swine,32803357
202008,020442,"Other cuts with bone in,frozen",2675219
202008,020443,"Boneless meat of sheep,frozen",623058
202008,020450,"Meat of goats,frozen",7222
202008,020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",1202853
202008,020629,"Other edible offal of bovine animals,frozen",29431
202008,020690,"Other edible offal,frozen",208250
202008,020711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",141841094
202008,020712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",4564079
202008,020713,"Cuts and offal, fresh or chilled",3046061
202008,020714,"Cuts and offal, frozen",91298741
202008,020741,"Ducks，not cut in pieces, fresh or chilled",27472599
202008,020742,"Ducks,not cut in pieces, frozen",4813249
202008,020743,"Fatty livers of ducks, fresh or chilled",104160
202008,020744,"Other cuts and offal of ducks, fresh or chilled",245735
202008,020745,"Other cuts and offal of ducks, frozen",3378099
202008,020751,"Geese,not cut in pieces, fresh or chilled",29519776
202008,020752,"Geese,not cut in pieces, frozen",64037
202008,020754,"Other cuts and offal of geese, fresh or chilled",81113
202008,020810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",8577835
202008,020890,"Other meat and edible meat offal,fresh, chilled or frozen",9356253
202008,021012,Bellies (streaky) and cuts thereof,86669
202008,021019,Other,449344
202008,021099,"Other meat and edible meat offal,salted, in brine, dried or smoked",189656
202008,030111,Ornamental fish of freshwater,3363780
202008,030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",456000
202008,030192,Eels (Anguilla spp),159077773
202008,030193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",51693964
202008,030199,Other,192042547
202008,030223,"Sole (Solea spp) ,fresh or chilled",3128895
202008,030229,"Other flat fish,fresh or chilled",2622
202008,030246,"Cobia (Rachycentron canadum) ,fresh or chilled",2802116
