Date of data,Commodity code,Commodity,Renminbi Yuan
202212,10290,Other live bovine animals,56911236.0
202212,10391,"Other lives wine,weighing less than 50 kg",202914.0
202212,10392,"Other lives wine,weighing 50 kg or more",581891706.0
202212,10420,Goats,989120.0
202212,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",986826.0
202212,10614,Rabbits and hares,374101.0
202212,10619,Other mammals,8300629.0
202212,10620,Reptiles (including snakes and turtles),13361091.0
202212,10649,Other insects,51330.0
202212,10690,Other lives animals,2949220.0
202212,20230,Boneless,10650.0
202212,20312,"Hams, shoulders and cuts thereof, with bone in",37279023.0
202212,20319,Other fresh or chilled meat of swine,9254224.0
202212,20321,Carcasses and halfcarcasses,1594925.0
202212,20329,Other frozen meat of swine,49266088.0
202212,20441,"Carcasses and halfcarcasses,frozen",205071.0
202212,20442,"Other cuts with bone in,frozen",8969502.0
202212,20443,"Boneless meat of sheep,frozen",4784717.0
202212,20450,"Meat of goats,frozen",6052341.0
202212,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",1865466.0
202212,20629,"Other edible offal of bovine animals,frozen",23379.0
202212,20690,"Other edible offal,frozen",937864.0
202212,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",291126005.0
202212,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",8299719.0
202212,20713,"Cuts and offal, fresh or chilled",9049795.0
202212,20714,"Cuts and offal, frozen",173704288.0
202212,20741,"Ducks,not cut in pieces, fresh or chilled",33420407.0
202212,20742,"Ducks,not cut in pieces, frozen",19024407.0
202212,20743,"Fatty livers of ducks, fresh or chilled",170880.0
202212,20744,"Other cuts and offal of ducks, fresh or chilled",317077.0
202212,20745,"Other cuts and offal of ducks, frozen",2585107.0
202212,20751,"Geese,not cut in pieces, fresh or chilled",75442081.0
202212,20752,"Geese,not cut in pieces, frozen",35100.0
202212,20754,"Other cuts and offal of geese, fresh or chilled",1239808.0
202212,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",10434828.0
202212,20890,"Other meat and edible meat offal,fresh, chilled or frozen",31956812.0
202212,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",390000.0
202212,21012,Bellies (streaky) and cuts thereof,579954.0
202212,21019,Other,882572.0
202212,21099,"Other meat and edible meat offal,salted, in brine, dried or smoked",3041097.0
202212,30111,Ornamental fish of freshwater,1911042.0
202212,30192,Eels (Anguilla spp),175380880.0
202212,30193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",74563923.0
202212,30199,Other,265052057.0
202212,30223,"Sole (Solea spp) ,fresh or chilled",2087296.0
202212,30229,"Other flat fish,fresh or chilled",2589146.0
202212,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled",9631.0
202212,30246,"Cobia (Rachycentron canadum) ,fresh or chilled",8780638.0
