数据年月,商品编码,商品名称,人民币
202501,010290,其他牛,11231042
202501,010392,其他猪，重量≥50k...,15372776
202501,010420,山羊,174400
202501,010511,鸡，重量≤185g,1190821
202501,010614,家兔及野兔,209646
202501,010619,其他哺乳动物,23666920
202501,010620,爬行动物（包括蛇及龟...,5102180
202501,010649,其他昆虫,45164
202501,010690,其他活动物,2356693
202501,020120,鲜、冷带骨牛肉,69467
202501,020130,鲜、冷去骨牛肉,3732311
202501,020220,冻带骨牛肉,27897
202501,020230,冻去骨牛肉,4052052
202501,020312,鲜、冷带骨猪前腿、猪...,5841371
202501,020319,其他鲜、冷猪肉,4275127
202501,020321,冻整头及半头猪肉,5525619
202501,020329,其他冻猪肉,67338560
202501,020421,鲜、冷整头及半头绵羊...,138945
202501,020430,冻整头及半头羔羊肉,46731
202501,020441,冻整头及半头绵羊肉,418274
202501,020442,冻带骨绵羊肉,8879822
202501,020443,冻去骨绵羊肉,3373826
202501,020450,鲜、冷、冻山羊肉,1755286
202501,020500,鲜、冷、冻马、驴、骡...,4459820
202501,020610,鲜、冷牛杂碎,390110
202501,020629,其他冻牛杂碎,490435
202501,020641,冻猪肝,105471
202501,020649,其他冻猪杂碎,788500
202501,020690,其他冻杂碎（牛、猪杂...,3711797
202501,020711,整只鸡，鲜或冷的,70534342
202501,020712,整只鸡，冻的,10234869
202501,020713,鸡块及杂碎，鲜或冷的,4255559
202501,020714,鸡块及杂碎，冻的,326022724
202501,020741,鲜或冷的整只鸭,20691801
202501,020742,整只冻鸭,25612129
202501,020743,鲜或冷的鸭肥肝,503125
202501,020744,鲜或冷的鸭块及杂碎,359946
202501,020745,冻的鸭块及杂碎,14336015
202501,020751,鲜或冷的整只鹅,50811471
202501,020752,整只冻鹅,433310
202501,020753,鲜或冷的鹅肥肝,442020
202501,020754,鲜或冷的鹅块及杂碎,1454899
202501,020810,鲜、冷、冻家兔或野兔...,9741936
202501,020890,其他鲜、冷、冻肉及食...,9299753
202501,020910,未炼制或用其他方法提...,105954
