Date of data,Commodity code,Commodity,Renminbi Yuan
202509,10129,Other horses,184000.0
202509,10290,Other live bovine animals,23342943.0
202509,10392,"Other lives wine,weighing 50 kg or more",239420617.0
202509,10410,Sheep,142000.0
202509,10420,Goats,1540200.0
202509,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",2623283.0
202509,10614,Rabbits and hares,397787.0
202509,10619,Other mammals,17253872.0
202509,10620,Reptiles (including snakes and turtles),6520469.0
202509,10649,Other insects,77587.0
202509,10690,Other lives animals,1045357.0
202509,20120,Other cuts with bone in,122304.0
202509,20130,Boneless,2836316.0
202509,20220,Other cuts with bone in,72220.0
202509,20230,Boneless,4621076.0
202509,20312,"Hams, shoulders and cuts thereof, with bone in",8567786.0
202509,20319,Other fresh or chilled meat of swine,2546476.0
202509,20321,Carcasses and halfcarcasses,2160096.0
202509,20322,"Hams, shoulders and cuts thereof, with bone in",265541.0
202509,20329,Other frozen meat of swine,85264445.0
202509,20421,"Carcasses and halfcarcasses of sheep,fresh or chilled",19584.0
202509,20442,"Other cuts with bone in,frozen",9375549.0
202509,20443,"Boneless meat of sheep,frozen",5322968.0
202509,20450,"Meat of goats,frozen",417341.0
202509,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",4767667.0
202509,20610,"Of bovine animals, fresh or chilled",40378.0
202509,20621,"Tongues of bovine animals,frozen",5050.0
202509,20622,"Livers of bovine animals,frozen",701275.0
202509,20629,"Other edible offal of bovine animals,frozen",36805.0
202509,20641,"Livers,frozen",92159.0
202509,20649,"Other edible offal of swine,frozen",744020.0
202509,20690,"Other edible offal,frozen",920362.0
202509,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",126572023.0
202509,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",13469436.0
202509,20713,"Cuts and offal, fresh or chilled",7685955.0
202509,20714,"Cuts and offal, frozen",629680492.0
202509,20741,"Ducks,not cut in pieces, fresh or chilled",19687480.0
202509,20742,"Ducks,not cut in pieces, frozen",35915993.0
202509,20743,"Fatty livers of ducks, fresh or chilled",462900.0
202509,20744,"Other cuts and offal of ducks, fresh or chilled",393738.0
202509,20745,"Other cuts and offal of ducks, frozen",52278808.0
202509,20751,"Geese,not cut in pieces, fresh or chilled",42023139.0
202509,20753,"Fatty livers of geese, fresh or chilled",118274.0
202509,20754,"Other cuts and offal of geese, fresh or chilled",1298014.0
202509,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",10008750.0
202509,20890,"Other meat and edible meat offal,fresh, chilled or frozen",18703967.0
202509,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",2656900.0
202509,20990,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",6030.0
202509,21011,"Hams, shoulders and cuts thereof, with bone in",6211.0
202509,21012,Bellies (streaky) and cuts thereof,488941.0
202509,21019,Other meat of swine,667432.0
202509,21020,Meat of bovine animals,342753.0
202509,21099,"Other meat and edible meat offal,salted, in brine, dried or smoked",3326411.0
202509,30111,Ornamental fish of freshwater,2856635.0
202509,30192,Eels (Anguilla spp),84045431.0
