Date of data,Commodity code,Commodity,US dollar
201504,10290,Other live bovine animals,4635253.0
201504,10310,Purebred breeding swine,76000.0
201504,10391,"Other lives wine,weighing less than 50 kg",347823.0
201504,10392,"Other lives wine,weighing 50 kg or more",37658313.0
201504,10420,Goats,31208.0
201504,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",12235.0
201504,10594,"Fowls of the species Gallus domesticus,weighing more than 185 g",948709.0
201504,10611,Primates,4465157.0
201504,10614,Rabbits and hares,58025.0
201504,10619,Other mammals,413890.0
201504,10620,Reptiles (including snakes and turtles),208702.0
201504,10639,Other birds,233532.0
201504,10649,Other insects,1068.0
201504,10690,Other lives animals,18886.0
201504,20230,Boneless,8398696.0
201504,20319,Other fresh or chilled meat of swine,2886318.0
201504,20321,Carcasses and halfcarcasses,1007470.0
201504,20329,Other frozen meat of swine,26632051.0
201504,20442,"Other cuts with bone in,frozen",306850.0
201504,20443,"Boneless meat of sheep,frozen",282521.0
201504,20450,"Meat of goats,frozen",3239062.0
201504,20622,"Livers of bovine animals,frozen",15263.0
201504,20629,"Other edible offal of bovine animals,frozen",12574.0
201504,20690,"Other edible offal,frozen",115000.0
201504,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",14858001.0
201504,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",897767.0
201504,20713,"Cuts and offal, fresh or chilled",56139.0
201504,20714,"Cuts and offal, frozen",22086987.0
201504,20741,"Ducks,not cut in pieces, fresh or chilled",5208041.0
201504,20742,"Ducks,not cut in pieces, frozen",611041.0
201504,20744,"Other cuts and offal of ducks, fresh or chilled",174.0
201504,20745,"Other cuts and offal of ducks, frozen",4149107.0
201504,20751,"Geese,not cut in pieces, fresh or chilled",3425439.0
201504,20752,"Geese,not cut in pieces, frozen",20144.0
201504,20755,"Other cuts and offal of geese, frozen",1421.0
201504,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",3176150.0
201504,20890,"Other meat and edible meat offal,fresh, chilled or frozen",930039.0
201504,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",79965.0
201504,21012,Bellies (streaky) and cuts thereof,66276.0
201504,21019,Other,12486.0
201504,21099,"Other meat and edible meat offal,salted, in brine, dried or smoked",76033.0
201504,30111,Ornamental fish of freshwater,306781.0
201504,30192,Eels (Anguilla spp),8739832.0
201504,30193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",9609882.0
201504,30199,Other,29254253.0
201504,30223,"Sole (Solea spp) ,fresh or chilled",165835.0
201504,30251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,fresh or chilled",192687.0
201504,30273,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, fresh or chilledHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",491.0
201504,30274,"Eels (Anguilla spp) ,fresh or chilled",285316.0
201504,30282,"Rays and skates (Rajidae) ,fresh or chilled",299206.0
201504,30289,"Other fish,fresh or chilled",8538441.0
201504,30290,-------,31440.0
201504,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",29549.0
201504,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",1033237.0
201504,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",69546.0
201504,30323,"Tilapias (Oreochromis spp) , frozen",20971455.0
201504,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",1087786.0
201504,30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozenHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",1362.0
201504,30326,"Eels (Anguilla spp) , frozen",1505553.0
201504,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",2624077.0
201504,30332,Frozen plaice,582427.0
201504,30333,Frozen sole,1192418.0
201504,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",5174158.0
201504,30341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",614279.0
201504,30342,"Yellowfin tunas (Thunnus albacares),frozen",16463914.0
201504,30343,"Skipjack or stripebellied bonito ,frozen",10085537.0
201504,30344,"Bigeye tunas (Thunnus obesus) ,frozen",7717515.0
201504,30349,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis),frozen",2223260.0
201504,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",3034658.0
201504,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",11440974.0
201504,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",14471304.0
201504,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",125200.0
201504,30357,"Swordfish (Xiphias gladius) ,frozen",1414511.0
201504,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",1105115.0
201504,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",214750.0
201504,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",2240608.0
201504,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",23473.0
201504,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",348988.0
201504,30381,"Dogfish and other sharks ,frozen",1848950.0
201504,30382,"Rays and skates (Rajidae) ,frozen",86306.0
201504,30384,"Seabass (Dicentrarchus spp) ,frozen",1624005.0
201504,30389,"Other fish ,frozen",78305831.0
201504,30390,-------,1117292.0
