Date of data,Commodity code,Commodity,US dollar
202006,10290,Other live bovine animals,5201272.0
202006,10392,"Other lives wine,weighing 50 kg or more",47838995.0
202006,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",202808.0
202006,10614,Rabbits and hares,67464.0
202006,10619,Other mammals,441595.0
202006,10620,Reptiles (including snakes and turtles),836987.0
202006,10649,Other insects,2170.0
202006,10690,Other lives animals,10040.0
202006,20312,"Hams, shoulders and cuts thereof, with bone in",196079.0
202006,20319,Other fresh or chilled meat of swine,1145996.0
202006,20321,Carcasses and halfcarcasses,64223.0
202006,20329,Other frozen meat of swine,5883991.0
202006,20442,"Other cuts with bone in,frozen",199766.0
202006,20443,"Boneless meat of sheep,frozen",195133.0
202006,20629,"Other edible offal of bovine animals,frozen",4205.0
202006,20690,"Other edible offal,frozen",2146.0
202006,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",20946629.0
202006,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",637176.0
202006,20713,"Cuts and offal, fresh or chilled",441801.0
202006,20714,"Cuts and offal, frozen",13187590.0
202006,20741,"Ducks,not cut in pieces, fresh or chilled",3827993.0
202006,20742,"Ducks,not cut in pieces, frozen",915013.0
202006,20743,"Fatty livers of ducks, fresh or chilled",7649.0
202006,20744,"Other cuts and offal of ducks, fresh or chilled",35168.0
202006,20745,"Other cuts and offal of ducks, frozen",861957.0
202006,20751,"Geese,not cut in pieces, fresh or chilled",4522997.0
202006,20752,"Geese,not cut in pieces, frozen",38655.0
202006,20754,"Other cuts and offal of geese, fresh or chilled",24638.0
202006,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",1275898.0
202006,20890,"Other meat and edible meat offal,fresh, chilled or frozen",1610205.0
202006,21012,Bellies (streaky) and cuts thereof,8124.0
202006,21019,Other,145028.0
202006,21099,"Other meat and edible meat offal,salted, in brine, dried or smoked",85960.0
202006,30111,Ornamental fish of freshwater,497397.0
202006,30191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",27707.0
202006,30192,Eels (Anguilla spp),19269654.0
202006,30193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",7374230.0
202006,30199,Other,26051964.0
202006,30223,"Sole (Solea spp) ,fresh or chilled",206603.0
