Date of data,Commodity code,Commodity,US dollar
202212,10290,Other live bovine animals,7972967.0
202212,10391,"Other lives wine,weighing less than 50 kg",28747.0
202212,10392,"Other lives wine,weighing 50 kg or more",82140854.0
202212,10420,Goats,140810.0
202212,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",137687.0
202212,10614,Rabbits and hares,52028.0
202212,10619,Other mammals,1177234.0
202212,10620,Reptiles (including snakes and turtles),1871603.0
202212,10649,Other insects,7318.0
202212,10690,Other lives animals,419098.0
202212,20230,Boneless,1484.0
202212,20312,"Hams, shoulders and cuts thereof, with bone in",5279330.0
202212,20319,Other fresh or chilled meat of swine,1317397.0
202212,20321,Carcasses and halfcarcasses,225964.0
202212,20329,Other frozen meat of swine,7004768.0
202212,20441,"Carcasses and halfcarcasses,frozen",29193.0
202212,20442,"Other cuts with bone in,frozen",1273659.0
202212,20443,"Boneless meat of sheep,frozen",675157.0
202212,20450,"Meat of goats,frozen",861591.0
202212,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",265671.0
202212,20629,"Other edible offal of bovine animals,frozen",3328.0
202212,20690,"Other edible offal,frozen",133334.0
202212,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",41194375.0
202212,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",1180509.0
202212,20713,"Cuts and offal, fresh or chilled",1279027.0
202212,20714,"Cuts and offal, frozen",24586097.0
202212,20741,"Ducks,not cut in pieces, fresh or chilled",4748517.0
202212,20742,"Ducks,not cut in pieces, frozen",2698148.0
202212,20743,"Fatty livers of ducks, fresh or chilled",23810.0
202212,20744,"Other cuts and offal of ducks, fresh or chilled",45126.0
202212,20745,"Other cuts and offal of ducks, frozen",367607.0
202212,20751,"Geese,not cut in pieces, fresh or chilled",10706310.0
202212,20752,"Geese,not cut in pieces, frozen",4891.0
202212,20754,"Other cuts and offal of geese, fresh or chilled",176489.0
202212,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",1479274.0
202212,20890,"Other meat and edible meat offal,fresh, chilled or frozen",4529943.0
202212,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",54341.0
202212,21012,Bellies (streaky) and cuts thereof,82297.0
202212,21019,Other,123207.0
202212,21099,"Other meat and edible meat offal,salted, in brine, dried or smoked",432303.0
202212,30111,Ornamental fish of freshwater,270211.0
202212,30192,Eels (Anguilla spp),24839193.0
202212,30193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",10507727.0
202212,30199,Other,37274412.0
202212,30223,"Sole (Solea spp) ,fresh or chilled",294867.0
202212,30229,"Other flat fish,fresh or chilled",360775.0
202212,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled",1371.0
202212,30246,"Cobia (Rachycentron canadum) ,fresh or chilled",1241380.0
