Date of data,Commodity code,Commodity,US dollar
202301,10290,Other live bovine animals,1034567.0
202301,10392,"Other lives wine,weighing 50 kg or more",1269400.0
202301,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",158007.0
202301,10614,Rabbits and hares,32070.0
202301,10619,Other mammals,1256883.0
202301,10620,Reptiles (including snakes and turtles),1350846.0
202301,10649,Other insects,9109.0
202301,10690,Other lives animals,173864.0
202301,20230,Boneless,118263.0
202301,20312,"Hams, shoulders and cuts thereof, with bone in",714107.0
202301,20319,Other fresh or chilled meat of swine,1237124.0
202301,20321,Carcasses and halfcarcasses,396272.0
202301,20329,Other frozen meat of swine,6314578.0
202301,20441,"Carcasses and halfcarcasses,frozen",3587.0
202301,20442,"Other cuts with bone in,frozen",923927.0
202301,20443,"Boneless meat of sheep,frozen",682278.0
202301,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",431620.0
202301,20629,"Other edible offal of bovine animals,frozen",13021.0
202301,20690,"Other edible offal,frozen",159720.0
202301,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",13357388.0
202301,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",769769.0
202301,20713,"Cuts and offal, fresh or chilled",291667.0
202301,20714,"Cuts and offal, frozen",16337111.0
202301,20741,"Ducks,not cut in pieces, fresh or chilled",3052323.0
202301,20742,"Ducks,not cut in pieces, frozen",2079873.0
202301,20743,"Fatty livers of ducks, fresh or chilled",1283.0
202301,20744,"Other cuts and offal of ducks, fresh or chilled",46586.0
202301,20745,"Other cuts and offal of ducks, frozen",315732.0
202301,20751,"Geese,not cut in pieces, fresh or chilled",5188946.0
202301,20752,"Geese,not cut in pieces, frozen",3255.0
202301,20754,"Other cuts and offal of geese, fresh or chilled",172064.0
202301,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",1492857.0
202301,20890,"Other meat and edible meat offal,fresh, chilled or frozen",1357976.0
202301,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",60305.0
202301,21012,Bellies (streaky) and cuts thereof,50777.0
202301,21019,Other,114314.0
