Date of data,Commodity code,Commodity,US dollar
202407,010129,Other horses,24695
202407,010290,Other live bovine animals,3481070
202407,010392,"Other lives wine,weighing 50 kg or more",32866721
202407,010410,Sheep,22338
202407,010420,Goats,15042
202407,010511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",145389
202407,010614,Rabbits and hares,51308
202407,010619,Other mammals,2461556
202407,010620,Reptiles (including snakes and turtles),582576
202407,010649,Other insects,18447
202407,010690,Other lives animals,128599
202407,020120,Other cuts with bone in,7409
202407,020130,Boneless,280841
202407,020220,Other cuts with bone in,8500
202407,020230,Boneless,204865
202407,020312,"Hams, shoulders and cuts thereof, with bone in",1830836
202407,020319,Other fresh or chilled meat of swine,686436
202407,020321,Carcasses and halfcarcasses,71716
202407,020329,Other frozen meat of swine,7751751
202407,020430,"Carcasses and halfcarcasses of lamb, frozen",8012
202407,020441,"Carcasses and halfcarcasses,frozen",3366
202407,020442,"Other cuts with bone in,frozen",959304
202407,020443,"Boneless meat of sheep,frozen",366765
202407,020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",455586
202407,020610,"Of bovine animals, fresh or chilled",527
202407,020622,"Livers of bovine animals,frozen",32717
202407,020629,"Other edible offal of bovine animals,frozen",65819
202407,020641,"Livers,frozen",10117
202407,020690,"Other edible offal,frozen",673150
202407,020711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",19779405
202407,020712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",820471
202407,020713,"Cuts and offal, fresh or chilled",873239
202407,020714,"Cuts and offal, frozen",47700004
202407,020741,"Ducks，not cut in pieces, fresh or chilled",2972000
202407,020742,"Ducks,not cut in pieces, frozen",2562854
202407,020743,"Fatty livers of ducks, fresh or chilled",95360
202407,020744,"Other cuts and offal of ducks, fresh or chilled",49055
202407,020745,"Other cuts and offal of ducks, frozen",2444377
202407,020751,"Geese,not cut in pieces, fresh or chilled",6816383
202407,020752,"Geese,not cut in pieces, frozen",17700
202407,020753,"Fatty livers of geese, fresh or chilled",71370
202407,020754,"Other cuts and offal of geese, fresh or chilled",188773
202407,020810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",1448639
202407,020890,"Other meat and edible meat offal,fresh, chilled or frozen",2638055
202407,021011,"Hams, shoulders and cuts thereof, with bone in",45282
202407,021012,Bellies (streaky) and cuts thereof,25994
202407,021019,Other meat of swine,87396
202407,021020,Meat of bovine animals,11860
202407,021093,"Meat and edible meat offal of reptiles (including snakes and turtles), salted, in brine, dried or smoked",68090
202407,021099,"Other meat and edible meat offal,salted, in brine, dried or smoked",270817
202407,030111,Ornamental fish of freshwater,273130
202407,030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",43497
202407,030192,Eels (Anguilla spp),35300536
202407,030193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",6622301
202407,030199,"Live fish,nes",24042450
202407,030211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilled Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",1476
202407,030213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilled Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",41453
202407,030223,"Sole (Solea spp) ,fresh or chilled",127018
202407,030239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled (Euthynnus (Katsuwonus) pelamis),fresh or chilled",47467
202407,030244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",36115
202407,030246,"Cobia (Rachycentron canadum) ,fresh or chilled",2393329
202407,030249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),",125304
202407,030271,"Tilapias (Oreochromis spp) ,fresh or chilled",18064
202407,030273,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, fresh or chilled Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",277630
202407,030274,"Eels (Anguilla spp) ,fresh or chilled",235202
202407,030289,"Other fish,fresh or chilled",15026385
202407,030299,"Other fish fins, heads, tails, maws and other edible fish offal,fresh or chilled",40856
202407,030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",1334013
202407,030313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",192820
202407,030314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",4326682
202407,030323,"Tilapias (Oreochromis spp) , frozen",19535052
202407,030324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",467689
202407,030325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozen Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",79824
202407,030326,"Eels (Anguilla spp) , frozen",1522293
202407,030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",2401623
202407,030332,"Plaice (Pleuronectes platessa) , frozen",166615
202407,030333,"Sole (Solea spp) , frozen",21785
202407,030339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",1988619
202407,030341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",5149618
202407,030342,"Yellowfin tunas (Thunnus albacares),frozen",12825968
202407,030343,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,frozen",410263
202407,030344,"Bigeye tunas (Thunnus obesus) ,frozen",1467456
202407,030351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",2072975
202407,030353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",6329674
202407,030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",29582800
202407,030355,"Jack and horse mackerel (Trachurus spp) ,frozen",170030
202407,030356,"Cobia (Rachycentron canadum) ,frozen",42264
202407,030357,"Swordfish (Xiphias gladius) ,frozen",743697
202407,030359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",6768689
202407,030366,"Hake (Merluccius spp, Urophycis spp) ,frozen",110846
202407,030367,"Alaska Pollack (Theragra chalcogramma) ,frozen",2105034
202407,030368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",369350
202407,030369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",244487
202407,030384,"Seabass (Dicentrarchus spp) ,frozen",183568
202407,030389,"Other fish ,frozen",45514835
202407,030391,"Livers, roes and milt,frozen",607965
202407,030399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",1089451
202407,030439,"Other fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",827785
202407,030449,"Fresh or chilled fillets of fish, n.e.s",162015
202407,030451,"Fresh or chilled meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",1878275
202407,030459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",28907
202407,030461,Frozen fillets of tilapias (Oreochromis spp),10530841
202407,030462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",201411
202407,030469,"Frozen fillets of carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""",2662394
202407,030471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",59517778
202407,030472,Frozen fillets of haddock (Melanogrammus aeglefinus),11874649
202407,030473,Frozen fillets of coalfish (Pollachius virens),6218157
202407,030474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",1555805
202407,030475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),42098891
202407,030479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",3695633
202407,030481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",34482619
202407,030482,"Frozen fillets of trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchusclarki, Oncorhynchus aguabonita, Oncorhynchus gilae,Oncorhynchus apache and Oncorhynchus chrysogaster)",1893209
202407,030483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",26065955
202407,030484,Frozen fillets of swordfish (Xiphias gladius),546315
202407,030486,"Frozen fillets of herrings (Clupea harengus, Clupea pallasii)",226855
202407,030487,"Frozen fillets of tunas (of the genus Thunnus),skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",16921052
202407,030488,"Frozen fillets of dogfish, other sharks, rays and skates (Rajidae)",76807
202407,030489,"Frozen fish fillets, n.e.s.",42318841
202407,030491,"Frozen meat, whether or not minced, of swordfish (Xiphias gladius)",84332
202407,030492,"Frozen meat, whether or not minced, of toothfish (Dissostichus spp)",300533
202407,030493,"Frozen meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",8750
202407,030494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",2666553
202407,030495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",2027067
202407,030497,"Frozen meat, whether or not minced, of rays and skates (Rajidae)",52125
202407,030499,Frozen fish meat n.e.s. (excluding fillets),12203570
202407,030520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",3140487
202407,030532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",8953146
202407,030539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",196051
202407,030541,"Smoked Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",6
202407,030542,"Smoked herrings (Clupea harengus, Clupea pallasii)",482839
202407,030543,"Smoked trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",1156473
202407,030544,"Smoked tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",1317
202407,030549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, trout, tilapia, catfish, carp, eels, Nile perch and snakeheads)",1253118
202407,030551,"Dried cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",24141
202407,030553,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",860979
202407,030554,"Dried herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp), sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp), jacks, crevalles (Caranx spp), cobia (Rachycentron canadum), silver pomfrets (Pampus spp), Pacific saury (Cololabis saira), scads (Decapterus spp), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp), marlins, sailfishes, spearfish (Istiophoridae)",2096342
202407,030559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",6428853
202407,030562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus),salted or in brine (excluding fillets and offal)",947805
202407,030564,"Tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."", salted or in brine only (excluding fillets and offal)",35531
202407,030569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",1333181
202407,030571,"Shark fins, smoked, dried, salted or in brine",87226
202407,030572,"Fish heads, tails and maws, smoked, dried, salted or in brine",173598
202407,030579,"Other fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, tails, maws and shark fins)",75979
202407,030611,"Frozen rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp)",19043
202407,030614,Frozen crabs,8917406
202407,030616,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon)",5420858
202407,030617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",31733984
202407,030619,Other frozen crustaceans,21247
202407,030631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",5233
202407,030632,"Lobsters (Homarus spp), whether in shell or not, live, fresh or chilled",5180
202407,030633,"Crabs , whether in shell or not, live, fresh or chilled",499464
202407,030635,"Coldwater shrimps and prawns (Pandalus spp, Crangon crangon), whether in shell or not, live, fresh or chilled",362696
202407,030636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",2090372
202407,030639,"Other crustaceans, live, fresh or chilled",120833
202407,030695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",431181
202407,030711,"Oysters, live, fresh, chilled",1289522
202407,030712,"Oysters, frozen",673051
202407,030721,"Live, fresh or chilled, scallops and other molluscs of the family Pectinidae",373093
202407,030722,Frozen scallops and other molluscs of the family Pectinidae,9897450
202407,030729,"Dried, salted or in brine, smoked, scallops and other molluscs of the family Pectinidae",359698
202407,030731,"Live, fresh or chilled, not smoked, mussels (Mytilus spp., Perna spp.), with or without shell",1886
202407,030732,"Frozen mussels (Mytilus spp., Perna spp.), with or without shell",1395817
202407,030742,"Live, fresh or chilled, not smoked, cuttle fish and squid, with or without shell",2265094
202407,030743,"Frozen cuttle fish and squid, with or without shell",136837548
202407,030749,"Cuttle fish and squid, smoked, frozen, dried, salted or in brine, with or without shell",3924058
202407,030751,"Live, fresh or chilled, not smoked,octopus (Octopus spp.)",9467773
202407,030752,Frozen octopus (Octopus spp.),11061001
202407,030759,"Octopus (Octopus spp.), smoked, frozen, dried, salted or in brine",265443
202407,030760,"Snails, other than sea snails",7358
202407,030771,"Live, fresh or chilled, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",3828631
202407,030772,"Frozen, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",2715027
202407,030781,"Live, fresh or chilled abalone (Haliotis spp)",2789674
202407,030783,Frozen abalone (Haliotis spp),1153162
