Date of data,Commodity code,Commodity,US dollar
202504,10290,Other live bovine animals,3648170.0
202504,10392,"Other lives wine,weighing 50 kg or more",34187225.0
202504,10420,Goats,23516.0
202504,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",174581.0
202504,10614,Rabbits and hares,40085.0
202504,10619,Other mammals,1860187.0
202504,10620,Reptiles (including snakes and turtles),835503.0
202504,10649,Other insects,16988.0
202504,10690,Other lives animals,237760.0
202504,20120,Other cuts with bone in,13736.0
202504,20130,Boneless,214877.0
202504,20220,Other cuts with bone in,14889.0
202504,20230,Boneless,486620.0
202504,20312,"Hams, shoulders and cuts thereof, with bone in",1160070.0
202504,20319,Other fresh or chilled meat of swine,301524.0
202504,20321,Carcasses and halfcarcasses,648676.0
202504,20322,"Hams, shoulders and cuts thereof, with bone in",54448.0
202504,20329,Other frozen meat of swine,9981240.0
202504,20442,"Other cuts with bone in,frozen",1058055.0
202504,20443,"Boneless meat of sheep,frozen",205938.0
202504,20450,"Meat of goats,frozen",50280.0
202504,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",547426.0
202504,20610,"Of bovine animals, fresh or chilled",5791.0
202504,20621,"Tongues of bovine animals,frozen",153.0
202504,20622,"Livers of bovine animals,frozen",26420.0
202504,20629,"Other edible offal of bovine animals,frozen",8604.0
202504,20641,"Livers,frozen",18272.0
202504,20649,"Other edible offal of swine,frozen",48691.0
202504,20690,"Other edible offal,frozen",124382.0
202504,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",18465478.0
202504,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",1071105.0
202504,20713,"Cuts and offal, fresh or chilled",843021.0
202504,20714,"Cuts and offal, frozen",60698556.0
202504,20741,"Ducks,not cut in pieces, fresh or chilled",2509266.0
202504,20742,"Ducks,not cut in pieces, frozen",3752319.0
202504,20743,"Fatty livers of ducks, fresh or chilled",85181.0
202504,20744,"Other cuts and offal of ducks, fresh or chilled",49146.0
202504,20745,"Other cuts and offal of ducks, frozen",3900781.0
202504,20751,"Geese,not cut in pieces, fresh or chilled",5938247.0
202504,20752,"Geese,not cut in pieces, frozen",9650.0
202504,20753,"Fatty livers of geese, fresh or chilled",3608.0
202504,20754,"Other cuts and offal of geese, fresh or chilled",185499.0
202504,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",1283092.0
202504,20890,"Other meat and edible meat offal,fresh, chilled or frozen",2349125.0
202504,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",36135.0
202504,21012,Bellies (streaky) and cuts thereof,34309.0
202504,21019,Other meat of swine,69766.0
202504,21020,Meat of bovine animals,13346.0
202504,21099,"Other meat and edible meat offal,salted, in brine, dried or smoked",277856.0
202504,30111,Ornamental fish of freshwater,343499.0
202504,30192,Eels (Anguilla spp),19548396.0
202504,30193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",6689584.0
202504,30199,"Live fish,nes",27136804.0
202504,30211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilledOncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",93684.0
202504,30223,"Sole (Solea spp) ,fresh or chilled",258548.0
202504,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled",19123.0
202504,30244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",29870.0
202504,30245,"Jack and horse mackerel (Trachurus spp) ,fresh or chilled",0.0
202504,30246,"Cobia (Rachycentron canadum) ,fresh or chilled",299299.0
202504,30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",173807.0
202504,30271,"Tilapias (Oreochromis spp) ,fresh or chilled",13465.0
202504,30273,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, fresh or chilledHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",179537.0
202504,30274,"Eels (Anguilla spp) ,fresh or chilled",288271.0
202504,30282,"Rays and skates (Rajidae) ,fresh or chilled",54193.0
202504,30289,"Other fish,fresh or chilled",10971717.0
202504,30299,"Other fish fins, heads, tails, maws and other edible fish offal,fresh or chilled",49429.0
202504,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",1148632.0
202504,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",1377574.0
202504,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",168644.0
202504,30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",2721881.0
202504,30323,"Tilapias (Oreochromis spp) , frozen",28553423.0
202504,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",3393556.0
202504,30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozenHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",597849.0
202504,30326,"Eels (Anguilla spp) , frozen",1574093.0
202504,30329,"Other tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.),frozen",2865.0
202504,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",2443563.0
202504,30332,"Plaice (Pleuronectes platessa) , frozen",58742.0
202504,30333,"Sole (Solea spp) , frozen",111850.0
202504,30334,"Turbots (Psetta maxima) ,frozen",18405.0
202504,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",2760218.0
202504,30341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",8328493.0
202504,30342,"Yellowfin tunas (Thunnus albacares),frozen",5554501.0
202504,30343,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,frozen",4062690.0
202504,30344,"Bigeye tunas (Thunnus obesus) ,frozen",4007752.0
202504,30349,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis),frozen",82696.0
202504,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",917248.0
202504,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",5382978.0
202504,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",39896076.0
202504,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",1833096.0
202504,30357,"Swordfish (Xiphias gladius) ,frozen",1221525.0
202504,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",17967824.0
202504,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",1430831.0
202504,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",2441332.0
202504,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",136345.0
202504,30382,"Rays and skates (Rajidae) ,frozen",93495.0
202504,30384,"Seabass (Dicentrarchus spp) ,frozen",591148.0
202504,30389,"Other fish ,frozen",64638463.0
202504,30391,"Livers, roes and milt,frozen",3064993.0
202504,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",1498980.0
202504,30431,Fresh or chilled tilapias (Oreochromis spp),23449.0
202504,30439,"Other fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",353234.0
202504,30442,"Fresh or chilled trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",10610.0
202504,30449,"Fresh or chilled fillets of fish, n.e.s",214035.0
202504,30451,"Fresh or chilled meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",1783504.0
202504,30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",47610.0
202504,30461,Frozen fillets of tilapias (Oreochromis spp),10402944.0
