Date of data,Commodity code,Commodity,US dollar
202505,10129,Other horses,"13,331"
202505,10229,Other cattle,"143,201"
202505,10290,Other live bovine animals,"3,137,009"
202505,10392,"Other lives wine,weighing 50 kg or more","29,596,784"
202505,10420,Goats,"41,686"
202505,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g","264,612"
202505,10614,Rabbits and hares,"44,608"
202505,10619,Other mammals,"1,166,906"
202505,10620,Reptiles (including snakes and turtles),"579,240"
202505,10639,Other birds,"1,590"
202505,10649,Other insects,"14,129"
202505,10690,Other lives animals,"121,975"
202505,20120,Other cuts with bone in,"19,496"
202505,20130,Boneless,"236,000"
202505,20220,Other cuts with bone in,812
202505,20230,Boneless,"159,530"
202505,20312,"Hams, shoulders and cuts thereof, with bone in","1,084,696"
202505,20319,Other fresh or chilled meat of swine,"343,885"
202505,20321,Carcasses and halfcarcasses,"432,758"
202505,20322,"Hams, shoulders and cuts thereof, with bone in","42,800"
202505,20329,Other frozen meat of swine,"11,795,042"
202505,20430,"Carcasses and halfcarcasses of lamb, frozen","11,526"
202505,20442,"Other cuts with bone in,frozen","752,391"
202505,20443,"Boneless meat of sheep,frozen","228,435"
202505,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","633,448"
202505,20610,"Of bovine animals, fresh or chilled","9,229"
202505,20622,"Livers of bovine animals,frozen","1,473"
202505,20629,"Other edible offal of bovine animals,frozen","50,722"
202505,20641,"Livers,frozen","12,502"
202505,20649,"Other edible offal of swine,frozen","65,150"
202505,20690,"Other edible offal,frozen","185,859"
202505,20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled","16,171,284"
202505,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen","1,283,759"
202505,20713,"Cuts and offal, fresh or chilled","892,877"
202505,20714,"Cuts and offal, frozen","62,142,463"
202505,20741,"Ducks,not cut in pieces, fresh or chilled","2,666,723"
202505,20742,"Ducks,not cut in pieces, frozen","4,196,654"
202505,20743,"Fatty livers of ducks, fresh or chilled","27,561"
202505,20744,"Other cuts and offal of ducks, fresh or chilled","41,357"
202505,20745,"Other cuts and offal of ducks, frozen","5,414,852"
202505,20751,"Geese,not cut in pieces, fresh or chilled","6,464,812"
202505,20752,"Geese,not cut in pieces, frozen","38,096"
202505,20753,"Fatty livers of geese, fresh or chilled","47,663"
202505,20754,"Other cuts and offal of geese, fresh or chilled","183,147"
202505,20755,"Other cuts and offal of geese, frozen","2,500"
202505,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen","2,270,957"
202505,20890,"Other meat and edible meat offal,fresh, chilled or frozen","2,261,125"
202505,21011,"Hams, shoulders and cuts thereof, with bone in","22,483"
202505,21012,Bellies (streaky) and cuts thereof,"34,482"
202505,21019,Other meat of swine,"63,359"
202505,21020,Meat of bovine animals,"11,936"
202505,21093,"Meat and edible meat offal of reptiles (including snakes and turtles), salted, in brine, dried or smoked","2,380"
202505,21099,"Other meat and edible meat offal,salted, in brine, dried or smoked","332,673"
202505,30111,Ornamental fish of freshwater,"311,534"
202505,30191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","69,155"
202505,30192,Eels (Anguilla spp),"18,944,561"
202505,30193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)","6,999,443"
202505,30199,"Live fish,nes","32,967,656"
202505,30211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilledOncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","15,799"
202505,30223,"Sole (Solea spp) ,fresh or chilled","44,482"
202505,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled","33,163"
202505,30244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled","38,672"
202505,30246,"Cobia (Rachycentron canadum) ,fresh or chilled","709,350"
