Date of data,Commodity code,Commodity,Renminbi Yuan
201612,010129,Other horses,15459343
201612,010130,Asses,515473
201612,010221,Purebred breeding cattle,271388704
201612,010229,Other cattle,878192
201612,010310,Purebred breeding swine,1419507
201612,010410,Sheep,14277082
201612,010511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",42468891
201612,010611,Primates,418291
201612,010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",11235586
201612,010619,Other mammals,93569451
201612,010620,Reptiles (including snakes and turtles),3888516
201612,010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",405424
201612,010639,Other birds,4883954
201612,010641,Bees,199152
201612,010649,Other insects,55179
201612,010690,Other lives animals,127103
201612,020120,Other cuts with bone in,2440463
201612,020130,Boneless,47510148
201612,020210,Carcasses and halfcarcasses,1466474
201612,020220,Other cuts with bone in,140799186
201612,020230,Boneless,1579311092
201612,020321,Carcasses and halfcarcasses,274360
201612,020322,"Hams, shoulders and cuts thereof, with bone in",463216698
201612,020329,Other frozen meat of swine,995807849
201612,020422,"Other sheep cuts with bone in ,fresh or chilled",69916
201612,020423,"Boneless,fresh or chilled",15018
201612,020430,"Carcasses and halfcarcasses of lamb, frozen",312812
201612,020441,"Carcasses and halfcarcasses,frozen",10712401
201612,020442,"Other cuts with bone in,frozen",294586644
201612,020443,"Boneless meat of sheep,frozen",14969529
201612,020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",24636553
201612,020621,"Tongues of bovine animals,frozen",2256721
201612,020629,"Other edible offal of bovine animals,frozen",38673173
201612,020641,"Livers,frozen",1390740
201612,020649,"Other edible offal of swine,frozen",1357585517
201612,020690,"Other edible offal,frozen",3131859
201612,020712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",422193
201612,020714,"Cuts and offal, frozen",703737019
201612,020725,"Turkeys,not cut in pieces, frozen",916735
201612,020727,"Cuts and offal of turkeys , frozen",24160439
201612,020890,"Other meat and edible meat offal,fresh, chilled or frozen",570314
201612,020910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",50524035
201612,021011,"Hams, shoulders and cuts thereof, with bone in",10890
201612,021019,Other,594812
201612,030111,Ornamental fish of freshwater,5621584
201612,030119,Other ornamental fish,1984972
201612,030192,Eels (Anguilla spp),6808335
201612,030199,Other,42850020
201612,030213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilled Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",1641491
201612,030214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",166724941
201612,030229,"Other flat fish,fresh or chilled",3921
201612,030232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",647327
201612,030233,"Skipjack or stripebellied bonito ,fresh or chilled",10138
201612,030234,"Bigeye tunas (Thunnus obesus),fresh or chilled",18961
201612,030235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",4785842
201612,030241,"Herrings (Clupea harengus, Clupea pallasii) ,fresh or chilled,fresh or chilled",25966
201612,030243,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus) ,fresh or chilled",9503
201612,030244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",143739
201612,030245,"Jack and horse mackerel (Trachurus spp) ,fresh or chilled",637487
201612,030251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,fresh or chilled",118016
201612,030274,"Eels (Anguilla spp) ,fresh or chilled",12787
201612,030289,"Other fish,fresh or chilled",23330194
201612,030311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",2182609
201612,030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",209374373
201612,030313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",34967357
