Date of data,Commodity code,Commodity,Renminbi Yuan
201907,10121,Purebred breeding horses,185352.0
201907,10129,Other horses,7084153.0
201907,10221,Purebred breeding cattle,34915374.0
201907,10229,Other cattle,137831533.0
201907,10420,Goats,10963185.0
201907,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",18888182.0
201907,10611,Primates,1493514.0
201907,10612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",14518251.0
201907,10619,Other mammals,18189488.0
201907,10620,Reptiles (including snakes and turtles),4249808.0
201907,10639,Other birds,4591260.0
201907,10641,Bees,30798.0
201907,10649,Other insects,20898.0
201907,10690,Other lives animals,49897.0
201907,20120,Other cuts with bone in,9426715.0
201907,20130,Boneless,164132967.0
201907,20220,Other cuts with bone in,463176911.0
201907,20230,Boneless,4451736591.0
201907,20322,"Hams, shoulders and cuts thereof, with bone in",613132330.0
201907,20329,Other frozen meat of swine,2234900228.0
201907,20421,"Carcasses and halfcarcasses of sheep,fresh or chilled",615839.0
201907,20422,"Other sheep cuts with bone in ,fresh or chilled",2488235.0
201907,20423,"Boneless,fresh or chilled",384682.0
201907,20430,"Carcasses and halfcarcasses of lamb, frozen",3277162.0
201907,20441,"Carcasses and halfcarcasses,frozen",20837905.0
201907,20442,"Other cuts with bone in,frozen",808570271.0
201907,20443,"Boneless meat of sheep,frozen",46925549.0
201907,20450,"Meat of goats,frozen",30232.0
201907,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",24285521.0
201907,20621,"Tongues of bovine animals,frozen",229021.0
201907,20629,"Other edible offal of bovine animals,frozen",87937017.0
201907,20641,"Livers,frozen",1172166.0
201907,20649,"Other edible offal of swine,frozen",1259557004.0
201907,20690,"Other edible offal,frozen",11733957.0
201907,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",1372002.0
201907,20714,"Cuts and offal, frozen",1175039642.0
201907,20725,"Turkeys,not cut in pieces, frozen",479820.0
201907,20727,"Cuts and offal of turkeys , frozen",21525264.0
201907,20745,"Other cuts and offal of ducks, frozen",173350.0
201907,20890,"Other meat and edible meat offal,fresh, chilled or frozen",1683459.0
201907,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",143132161.0
201907,21019,Other,7639145.0
201907,30111,Ornamental fish of freshwater,16560492.0
201907,30119,Other ornamental fish,2283045.0
201907,30192,Eels (Anguilla spp),952733.0
201907,30199,Other,63531577.0
201907,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",3622455.0
201907,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",399822560.0
201907,30222,"Plaice (Pleuronectes platessa),fresh or chilled",2552.0
201907,30223,"Sole (Solea spp) ,fresh or chilled",45646.0
201907,30229,"Other flat fish,fresh or chilled",3757675.0
201907,30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",749334.0
201907,30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",10754105.0
201907,30236,"Southern bluefin tunas (Thunnus maccoyii) ,fresh or chilled",2132364.0
201907,30241,"Herrings (Clupea harengus, Clupea pallasii) ,fresh or chilled,fresh or chilled",15848.0
201907,30243,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus) ,fresh or chilled",1209.0
201907,30244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",251143.0
201907,30245,"Jack and horse mackerel (Trachurus spp) ,fresh or chilled",1169930.0
201907,30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",5336482.0
201907,30251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,fresh or chilled",26857.0
201907,30253,"Coalfish (Pollachius virens) ,fresh or chilled",10655.0
201907,30289,"Other fish,fresh or chilled",36716688.0
201907,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",2065666.0
201907,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",21337551.0
201907,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",31171586.0
201907,30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",12214667.0
201907,30319,"Other salmonidae,frozen",469126.0
201907,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",44301396.0
201907,30326,"Eels (Anguilla spp) , frozen",369808.0
