Date of data,Commodity code,Commodity,Renminbi Yuan
202010,10129,Other horses,4051210.0
202010,10221,Purebred breeding cattle,127548738.0
202010,10229,Other cattle,240372060.0
202010,10410,Sheep,7512555.0
202010,10420,Goats,5291673.0
202010,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",11658965.0
202010,10614,Rabbits and hares,1562800.0
202010,10619,Other mammals,9067315.0
202010,10620,Reptiles (including snakes and turtles),330449.0
202010,10639,Other birds,3222599.0
202010,10649,Other insects,30274.0
202010,20120,Other cuts with bone in,10489013.0
202010,20130,Boneless,194772459.0
202010,20210,Carcasses and halfcarcasses,6614520.0
202010,20220,Other cuts with bone in,354846264.0
202010,20230,Boneless,4346218121.0
202010,20312,"Hams, shoulders and cuts thereof, with bone in",998988.0
202010,20319,Other fresh or chilled meat of swine,25347217.0
202010,20321,Carcasses and halfcarcasses,2573542.0
202010,20322,"Hams, shoulders and cuts thereof, with bone in",1332029939.0
202010,20329,Other frozen meat of swine,4449104497.0
202010,20422,"Other sheep cuts with bone in ,fresh or chilled",1741576.0
202010,20423,"Boneless,fresh or chilled",749847.0
202010,20430,"Carcasses and halfcarcasses of lamb, frozen",36074312.0
202010,20441,"Carcasses and halfcarcasses,frozen",19393235.0
202010,20442,"Other cuts with bone in,frozen",469816370.0
202010,20443,"Boneless meat of sheep,frozen",59405428.0
202010,20450,"Meat of goats,frozen",231338.0
202010,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",40300000.0
202010,20610,"Of bovine animals, fresh or chilled",8007.0
202010,20622,"Livers of bovine animals,frozen",3643.0
202010,20629,"Other edible offal of bovine animals,frozen",38461798.0
202010,20641,"Livers,frozen",13041804.0
202010,20649,"Other edible offal of swine,frozen",1294696308.0
202010,20690,"Other edible offal,frozen",6180478.0
202010,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",9087168.0
202010,20714,"Cuts and offal, frozen",1813790368.0
202010,20725,"Turkeys,not cut in pieces, frozen",1182391.0
202010,20727,"Cuts and offal of turkeys , frozen",40716161.0
202010,20890,"Other meat and edible meat offal,fresh, chilled or frozen",5184562.0
202010,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",53852898.0
202010,21011,"Hams, shoulders and cuts thereof, with bone in",6067012.0
202010,21019,Other,10299724.0
202010,30111,Ornamental fish of freshwater,10001678.0
202010,30119,Other ornamental fish,2673246.0
202010,30192,Eels (Anguilla spp),14972257.0
202010,30199,Other,72268728.0
202010,30211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilledOncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",12232.0
202010,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",843671.0
202010,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",124940643.0
202010,30222,"Plaice (Pleuronectes platessa),fresh or chilled",406.0
202010,30223,"Sole (Solea spp) ,fresh or chilled",17925.0
202010,30229,"Other flat fish,fresh or chilled",91638.0
202010,30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",395387.0
202010,30233,"Skipjack or stripebellied bonito ,fresh or chilled",118568.0
202010,30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",7213268.0
202010,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled",76352.0
202010,30244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",166104.0
202010,30245,"Jack and horse mackerel (Trachurus spp) ,fresh or chilled",500748.0
202010,30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",5775250.0
202010,30251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,fresh or chilled",12090.0
202010,30253,"Coalfish (Pollachius virens) ,fresh or chilled",16862.0
202010,30289,"Other fish,fresh or chilled",35755409.0
202010,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",9226932.0
202010,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",242099579.0
202010,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",7925530.0
202010,30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",893401.0
202010,30319,"Other salmonidae,frozen",307274.0
202010,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",32295088.0
202010,30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozenHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",78540.0
202010,30326,"Eels (Anguilla spp) , frozen",2374026.0
202010,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",191992566.0
202010,30332,"Plaice (Pleuronectes platessa) , frozen",663.0
202010,30333,"Sole (Solea spp) , frozen",849021.0
202010,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",58441820.0
202010,30342,"Yellowfin tunas (Thunnus albacares),frozen",10373540.0
202010,30343,"Skipjack or stripebellied bonito ,frozen",13782668.0
202010,30344,"Bigeye tunas (Thunnus obesus) ,frozen",354806.0
202010,30345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis) ,frozen",134641.0
202010,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",65370964.0
202010,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",8826109.0
202010,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",37919984.0
202010,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",9524002.0
202010,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",97144736.0
202010,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",161262325.0
202010,30364,"Haddock (Melanogrammus aeglefinus) ,frozen",48290223.0
202010,30365,"Coalfish (Pollachius virens) ,frozen",3039326.0
202010,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",17571458.0
202010,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",132372298.0
202010,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",17444047.0
202010,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",31272867.0
202010,30381,"Dogfish and other sharks ,frozen",4500535.0
202010,30382,"Rays and skates (Rajidae) ,frozen",372095.0
