Date of data,Commodity code,Commodity,Renminbi Yuan
202106,10129,Other horses,3573330.0
202106,10221,Purebred breeding cattle,54689183.0
202106,10229,Other cattle,227297195.0
202106,10310,Purebred breeding swine,46569709.0
202106,10410,Sheep,17746423.0
202106,10420,Goats,22993569.0
202106,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",31677978.0
202106,10619,Other mammals,7429992.0
202106,10620,Reptiles (including snakes and turtles),105511.0
202106,10639,Other birds,1546746.0
202106,10649,Other insects,41249.0
202106,10690,Other lives animals,12627.0
202106,20120,Other cuts with bone in,8546264.0
202106,20130,Boneless,254288657.0
202106,20210,Carcasses and halfcarcasses,1005726.0
202106,20220,Other cuts with bone in,562700086.0
202106,20230,Boneless,4449937362.0
202106,20312,"Hams, shoulders and cuts thereof, with bone in",300499.0
202106,20319,Other fresh or chilled meat of swine,3768312.0
202106,20321,Carcasses and halfcarcasses,5222330.0
202106,20322,"Hams, shoulders and cuts thereof, with bone in",1892763567.0
202106,20329,Other frozen meat of swine,4481069035.0
202106,20422,"Other sheep cuts with bone in ,fresh or chilled",773507.0
202106,20423,"Boneless,fresh or chilled",902147.0
202106,20430,"Carcasses and halfcarcasses of lamb, frozen",189564612.0
202106,20441,"Carcasses and halfcarcasses,frozen",87665835.0
202106,20442,"Other cuts with bone in,frozen",928228945.0
202106,20443,"Boneless meat of sheep,frozen",47255555.0
202106,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",20613953.0
202106,20610,"Of bovine animals, fresh or chilled",22426.0
202106,20621,"Tongues of bovine animals,frozen",2458406.0
202106,20629,"Other edible offal of bovine animals,frozen",50750416.0
202106,20641,"Livers,frozen",13228693.0
202106,20649,"Other edible offal of swine,frozen",1590198986.0
202106,20690,"Other edible offal,frozen",9662045.0
202106,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",4644343.0
202106,20714,"Cuts and offal, frozen",1262898730.0
202106,20727,"Cuts and offal of turkeys , frozen",10228653.0
202106,20890,"Other meat and edible meat offal,fresh, chilled or frozen",3740302.0
202106,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",254388140.0
202106,21011,"Hams, shoulders and cuts thereof, with bone in",4890292.0
202106,21019,Other,13909201.0
202106,30111,Ornamental fish of freshwater,3363158.0
202106,30119,Other ornamental fish,2469609.0
202106,30192,Eels (Anguilla spp),12813000.0
202106,30199,Other,56769314.0
202106,30211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilledOncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",8324.0
202106,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",4092235.0
202106,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",338432371.0
202106,30229,"Other flat fish,fresh or chilled",303715.0
202106,30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",507841.0
