Date of data,Commodity code,Commodity,Renminbi Yuan
202204,10129,Other horses,4276788.0
202204,10221,Purebred breeding cattle,33768150.0
202204,10229,Other cattle,83839600.0
202204,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",18955714.0
202204,10619,Other mammals,5805505.0
202204,10649,Other insects,104570.0
202204,10690,Other lives animals,12838.0
202204,20120,Other cuts with bone in,6442157.0
202204,20130,Boneless,315236890.0
202204,20220,Other cuts with bone in,693479513.0
202204,20230,Boneless,6975781414.0
202204,20322,"Hams, shoulders and cuts thereof, with bone in",439875520.0
202204,20329,Other frozen meat of swine,1284547238.0
202204,20422,"Other sheep cuts with bone in ,fresh or chilled",1111199.0
202204,20423,"Boneless,fresh or chilled",23424.0
202204,20430,"Carcasses and halfcarcasses of lamb, frozen",41399666.0
202204,20441,"Carcasses and halfcarcasses,frozen",145021417.0
202204,20442,"Other cuts with bone in,frozen",988449909.0
202204,20443,"Boneless meat of sheep,frozen",41819797.0
202204,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",1831318.0
202204,20621,"Tongues of bovine animals,frozen",2795051.0
202204,20622,"Livers of bovine animals,frozen",381630.0
202204,20629,"Other edible offal of bovine animals,frozen",130098194.0
202204,20641,"Livers,frozen",11887.0
202204,20649,"Other edible offal of swine,frozen",1334515928.0
202204,20690,"Other edible offal,frozen",10539309.0
202204,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",5612082.0
202204,20714,"Cuts and offal, frozen",1994799339.0
202204,20727,"Cuts and offal of turkeys , frozen",29163590.0
202204,20890,"Other meat and edible meat offal,fresh, chilled or frozen",6660847.0
202204,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",4175939.0
202204,21011,"Hams, shoulders and cuts thereof, with bone in",9034257.0
202204,21019,Other,11992870.0
202204,30111,Ornamental fish of freshwater,4115099.0
202204,30119,Other ornamental fish,3154940.0
202204,30192,Eels (Anguilla spp),250349177.0
202204,30199,Other,55532508.0
202204,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",2861270.0
202204,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",235044873.0
202204,30229,"Other flat fish,fresh or chilled",172016.0
202204,30233,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,fresh or chilled",99775.0
202204,30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",8908643.0
202204,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled",2223221.0
202204,30241,"Herrings (Clupea harengus, Clupea pallasii) ,fresh or chilled,fresh or chilled",13353.0
202204,30244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",201044.0
202204,30245,"Jack and horse mackerel (Trachurus spp) ,fresh or chilled",39708.0
202204,30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",804557.0
202204,30289,"Other fish,fresh or chilled",41216028.0
