Date of data,Commodity code,Commodity,US dollar
202102,10129,Other horses,1454097.0
202102,10229,Other cattle,51093755.0
202102,10410,Sheep,1765700.0
202102,10420,Goats,367000.0
202102,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",4855216.0
202102,10619,Other mammals,301713.0
202102,10620,Reptiles (including snakes and turtles),19337.0
202102,10639,Other birds,4388910.0
202102,10641,Bees,821.0
202102,10649,Other insects,2738.0
202102,10690,Other lives animals,2086.0
202102,20120,Other cuts with bone in,1002325.0
202102,20130,Boneless,31112252.0
202102,20210,Carcasses and halfcarcasses,42917.0
202102,20220,Other cuts with bone in,63368768.0
202102,20230,Boneless,657716810.0
202102,20319,Other fresh or chilled meat of swine,1159922.0
202102,20321,Carcasses and halfcarcasses,426540.0
202102,20322,"Hams, shoulders and cuts thereof, with bone in",242087757.0
202102,20329,Other frozen meat of swine,644021100.0
202102,20422,"Other sheep cuts with bone in ,fresh or chilled",241159.0
202102,20423,"Boneless,fresh or chilled",98447.0
202102,20430,"Carcasses and halfcarcasses of lamb, frozen",8770858.0
202102,20441,"Carcasses and halfcarcasses,frozen",24159965.0
202102,20442,"Other cuts with bone in,frozen",117317434.0
202102,20443,"Boneless meat of sheep,frozen",7417988.0
202102,20450,"Meat of goats,frozen",149715.0
202102,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",3297857.0
202102,20610,"Of bovine animals, fresh or chilled",2452.0
202102,20621,"Tongues of bovine animals,frozen",786.0
202102,20629,"Other edible offal of bovine animals,frozen",6137372.0
202102,20641,"Livers,frozen",1679374.0
202102,20649,"Other edible offal of swine,frozen",188057894.0
202102,20690,"Other edible offal,frozen",1183876.0
202102,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",447339.0
202102,20714,"Cuts and offal, frozen",192932299.0
202102,20727,"Cuts and offal of turkeys , frozen",4081671.0
202102,20745,"Other cuts and offal of ducks, frozen",137210.0
202102,20890,"Other meat and edible meat offal,fresh, chilled or frozen",488290.0
202102,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",11239873.0
202102,21011,"Hams, shoulders and cuts thereof, with bone in",593142.0
202102,21019,Other,730267.0
202102,30111,Ornamental fish of freshwater,324245.0
202102,30119,Other ornamental fish,279043.0
202102,30192,Eels (Anguilla spp),3996662.0
202102,30199,Other,9369265.0
202102,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",99826.0
202102,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",27272877.0
202102,30229,"Other flat fish,fresh or chilled",5074.0
202102,30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",14834.0
202102,30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",911556.0
202102,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled",69912.0
202102,30244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",23520.0
202102,30245,"Jack and horse mackerel (Trachurus spp) ,fresh or chilled",72644.0
202102,30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",820729.0
202102,30274,"Eels (Anguilla spp) ,fresh or chilled",2596.0
202102,30289,"Other fish,fresh or chilled",8198206.0
202102,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",218802.0
202102,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",3546957.0
202102,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",360674.0
202102,30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",248432.0
202102,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",2769026.0
202102,30326,"Eels (Anguilla spp) , frozen",277331.0
202102,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",24996064.0
202102,30332,"Plaice (Pleuronectes platessa) , frozen",71546.0
202102,30333,"Sole (Solea spp) , frozen",207547.0
202102,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",1914777.0
202102,30341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",100000.0
202102,30342,"Yellowfin tunas (Thunnus albacares),frozen",25634.0
202102,30343,"Skipjack or stripebellied bonito ,frozen",934546.0
202102,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",152040.0
202102,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",514635.0
202102,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",4601823.0
202102,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",665000.0
202102,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",4604330.0
202102,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",18696278.0
202102,30364,"Haddock (Melanogrammus aeglefinus) ,frozen",3604272.0
202102,30365,"Coalfish (Pollachius virens) ,frozen",1535734.0
202102,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",826848.0
202102,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",6333292.0
202102,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",436993.0
202102,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",1165393.0
202102,30381,"Dogfish and other sharks ,frozen",44255.0
202102,30382,"Rays and skates (Rajidae) ,frozen",28091.0
202102,30383,"Toothfish (Dissostichus spp) ,frozen",2728408.0
202102,30389,"Other fish ,frozen",31025312.0
202102,30391,"Livers, roes and milt,frozen",4900784.0
202102,30392,"Shark fins ,frozen",594823.0
202102,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",6589518.0
202102,30441,"Fresh or chilled pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha , fresh, chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",19569.0
202102,30449,"Fresh or chilled fillets of fish, n.e.s",25996.0
202102,30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",69751.0
202102,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",3978580.0
202102,30463,Frozen fillets of nile Perch (Lates niloticus),80882.0
202102,30475,Frozen fillets of alaska Pollack (Theragra chalcogramma),548572.0
202102,30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",912408.0
202102,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",68198.0
202102,30485,Frozen fillets of toothfish (Dissostichus spp),372.0
202102,30487,"Frozen fillets of tunas (of the genus Thunnus), skipjack or stripebellied bonito (Euthynnus (Katsuwonus) pelamis)",71537.0
202102,30489,"Frozen fish fillets, n.e.s.",68711.0
202102,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",45792.0
202102,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",542864.0
202102,30499,Frozen fish meat n.e.s. (excluding fillets),3774230.0
202102,30551,"Dried cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",50008.0
