Date of data,Commodity code,Commodity,US dollar
202203,10129,Other horses,3223889.0
202203,10221,Purebred breeding cattle,21637173.0
202203,10229,Other cattle,91024739.0
202203,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",2495962.0
202203,10613,Camels and other camelids (Camelidae),314942.0
202203,10619,Other mammals,740173.0
202203,10639,Other birds,3914704.0
202203,10649,Other insects,7751.0
202203,10690,Other lives animals,1157.0
202203,20120,Other cuts with bone in,1241011.0
202203,20130,Boneless,49558704.0
202203,20220,Other cuts with bone in,134059550.0
202203,20230,Boneless,1103219320.0
202203,20319,Other fresh or chilled meat of swine,7675.0
202203,20322,"Hams, shoulders and cuts thereof, with bone in",67285114.0
202203,20329,Other frozen meat of swine,201791230.0
202203,20422,"Other sheep cuts with bone in ,fresh or chilled",758411.0
202203,20423,"Boneless,fresh or chilled",630065.0
202203,20430,"Carcasses and halfcarcasses of lamb, frozen",5586363.0
202203,20441,"Carcasses and halfcarcasses,frozen",33829978.0
202203,20442,"Other cuts with bone in,frozen",179854093.0
202203,20443,"Boneless meat of sheep,frozen",6526502.0
202203,20450,"Meat of goats,frozen",1884.0
202203,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",72188.0
202203,20610,"Of bovine animals, fresh or chilled",3766.0
202203,20621,"Tongues of bovine animals,frozen",520544.0
202203,20629,"Other edible offal of bovine animals,frozen",21358146.0
202203,20641,"Livers,frozen",2012.0
202203,20649,"Other edible offal of swine,frozen",205590764.0
202203,20690,"Other edible offal,frozen",2030219.0
202203,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",865603.0
202203,20714,"Cuts and offal, frozen",285606318.0
202203,20727,"Cuts and offal of turkeys , frozen",4251804.0
202203,20890,"Other meat and edible meat offal,fresh, chilled or frozen",1334354.0
202203,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",949589.0
202203,21011,"Hams, shoulders and cuts thereof, with bone in",1401680.0
202203,21019,Other,1728834.0
202203,30111,Ornamental fish of freshwater,871170.0
202203,30119,Other ornamental fish,585048.0
202203,30192,Eels (Anguilla spp),6044204.0
202203,30199,Other,10450754.0
202203,30211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilledOncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",50637.0
202203,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",1015367.0
202203,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",47121735.0
202203,30229,"Other flat fish,fresh or chilled",17756.0
202203,30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",5053.0
202203,30233,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,fresh or chilled",11715.0
202203,30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",1527762.0
202203,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled",208691.0
202203,30241,"Herrings (Clupea harengus, Clupea pallasii) ,fresh or chilled,fresh or chilled",1788.0
202203,30244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",33908.0
202203,30245,"Jack and horse mackerel (Trachurus spp) ,fresh or chilled",11301.0
202203,30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",159327.0
202203,30251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,fresh or chilled",3636.0
202203,30289,"Other fish,fresh or chilled",5918247.0
202203,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",13929987.0
202203,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",6864294.0
202203,30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",2236993.0
202203,30319,"Other salmonidae,frozen",2194.0
202203,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",11257517.0
202203,30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozenHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",662.0
202203,30326,"Eels (Anguilla spp) , frozen",440143.0
202203,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",23460228.0
202203,30332,"Plaice (Pleuronectes platessa) , frozen",180191.0
202203,30333,"Sole (Solea spp) , frozen",64856.0
202203,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",8479519.0
202203,30342,"Yellowfin tunas (Thunnus albacares),frozen",3004.0
202203,30345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis) ,frozen",502336.0
202203,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",4163168.0
202203,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",157749.0
202203,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",11179351.0
202203,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",3784077.0
202203,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",2686314.0
202203,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",50332881.0
202203,30364,"Haddock (Melanogrammus aeglefinus) ,frozen",6678892.0
202203,30365,"Coalfish (Pollachius virens) ,frozen",354194.0
202203,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",898349.0
202203,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",64408422.0
202203,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",1010845.0
202203,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",3786752.0
202203,30381,"Dogfish and other sharks ,frozen",119115.0
202203,30382,"Rays and skates (Rajidae) ,frozen",100242.0
202203,30383,"Toothfish (Dissostichus spp) ,frozen",9388027.0
202203,30389,"Other fish ,frozen",62888908.0
202203,30391,"Livers, roes and milt,frozen",12893222.0
202203,30392,"Shark fins ,frozen",4052914.0
202203,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",15800420.0
202203,30441,"Fresh or chilled pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha , fresh, chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",1311328.0
202203,30449,"Fresh or chilled fillets of fish, n.e.s",340321.0
202203,30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",468036.0
202203,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",38392251.0
202203,30463,Frozen fillets of nile Perch (Lates niloticus),7222.0
202203,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",382635.0
202203,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),1478254.0
202203,30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",244092.0
202203,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",999638.0
202203,30485,Frozen fillets of toothfish (Dissostichus spp),260373.0
202203,30486,"Frozen fillets of herrings (Clupea harengus, Clupea pallasii)",108324.0
202203,30487,"Frozen fillets of tunas (of the genus Thunnus),skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",652934.0
202203,30489,"Frozen fish fillets, n.e.s.",333340.0
202203,30492,"Frozen meat, whether or not minced, of toothfish (Dissostichus spp)",2242.0
202203,30493,"Frozen meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",116773.0
202203,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",537558.0
202203,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",684038.0
202203,30499,Frozen fish meat n.e.s. (excluding fillets),6060514.0
202203,30520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",2563023.0
202203,30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",387332.0
202203,30554,"Dried herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp), sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp), jacks, crevalles (Caranx spp), cobia (Rachycentron canadum), silver pomfrets (Pampus spp), Pacific saury (Cololabis saira), scads (Decapterus spp), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp), marlins, sailfishes, spearfish (Istiophoridae)",1233043.0
202203,30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",5651789.0
202203,30569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",224696.0
202203,30571,"Shark fins, smoked, dried, salted or in brine",829172.0
202203,30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",4352651.0
202203,30579,"Other fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, tails, maws and shark fins)",140121.0
202203,30611,"Frozen rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp)",4731149.0
202203,30612,Frozen lobsters (Homarus spp),651805.0
202203,30614,Frozen crabs,9622839.0
202203,30615,Frozen norway lobsters (Nephrops norvegicus),275300.0
202203,30616,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon)",22522644.0
202203,30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",389177995.0
202203,30619,Other frozen crustaceans,2957875.0
202203,30631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",53054599.0
202203,30632,"Lobsters (Homarus spp), whether in shell or not, live, fresh or chilled",40016033.0
202203,30633,"Crabs , whether in shell or not, live, fresh or chilled",65903153.0
202203,30635,"Coldwater shrimps and prawns (Pandalus spp, Crangon crangon), whether in shell or not, live, fresh or chilled",95457.0
202203,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",8283053.0
202203,30639,"Other crustaceans, live, fresh or chilled",4466638.0
202203,30695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",948124.0
202203,30699,"Other Crustaceans, incl. in  0309",29930.0
202203,30711,"Oysters, live, fresh, chilled",1860129.0
202203,30721,"Live, fresh or chilled, scallops and other molluscs of the family Pectinidae",898307.0
202203,30722,Frozen scallops and other molluscs of the family Pectinidae,6280788.0
202203,30731,"Live, fresh or chilled, not smoked, mussels (Mytilus spp., Perna spp.), with or without shell",587122.0
202203,30732,"Frozen mussels (Mytilus spp., Perna spp.), with or without shell",2133468.0
202203,30739,"Mussels (Mytilus spp., Perna spp.), smoked, frozen, dried, salted or in brine, with or without shell",52236.0
202203,30742,"Live, fresh or chilled, not smoked, cuttle fish and squid, with or without shell",17099.0
202203,30743,"Frozen cuttle fish and squid, with or without shell",61884192.0
202203,30749,"Cuttle fish and squid, smoked, frozen, dried, salted or in brine, with or without shell",3831608.0
202203,30752,Frozen octopus (Octopus spp.),2290531.0
202203,30771,"Live, fresh or chilled, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",1847640.0
202203,30772,"Frozen, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",3395541.0
202203,30781,"Live, fresh or chilled abalone (Haliotis spp)",3456611.0
202203,30783,Frozen abalone (Haliotis spp),1183184.0
202203,30784,Frozen stromboid conchs (Strombus spp.),2016691.0
202203,30787,"Smoked, dried, salted or in brine, even in shell, abalone (Haliotis spp.)",984832.0
202203,30791,"Other molluscs,live/fresh/chilled",13296451.0
202203,30792,Other frozen Molluscs,2687091.0
202203,30799,"Other Molluscs,dried/salted/ in brine/smoked",39712.0
202203,30812,"Frozen sea cucumbers (Stichopus japonicus, Holothuroidea)",1118786.0
202203,30819,"Smoked, dried, salted or in brine, sea cucumbers (Stichopus japonicus, Holothurioidea)",1399339.0
202203,30821,"Live, fresh or chilled, sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",905513.0
202203,30830,Jellyfish (Rhopilema spp),1198622.0
202203,30890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)",39302.0
202203,30990,"Flours, meals and pellets of crustaceans, molluscs and other aquatic invertebrates, fit for human consumption",237049.0
202203,40110,"Milk and cream of a fat content, by weight, not exceeding 1%",6563651.0
202203,40120,"Milk and cream of a fat content, by weight, exceeding 1% but not exceeding 6%",45257730.0
202203,40140,"Milk and cream of a fat content, by weight, exceeding 6% but not exceeding 10%",19405.0
202203,40150,"Milk and cream of a fat content, by weight, exceeding 10%",94552924.0
202203,40210,"Milk and cream in powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",85685918.0
202203,40221,"Not containing added sugar or other sweetening matter, of a fat content, by weight, more than 1.5%",252580389.0
202203,40229,"Milk and cream in solid forms, of a fat content by weight, more than 1,5%, sweetened",1919319.0
202203,40291,"Milk and cream, concentrated but unsweetened (excluding in solid forms)",1479830.0
202203,40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",1816422.0
202203,40320,Yogurt,4678889.0
202203,40390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",893964.0
202203,40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",56651212.0
202203,40490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",3964235.0
202203,40510,Butter,75334349.0
202203,40590,"Fats and oils derived from milk, and dehydrated butter and ghee (excluding natural butter, recombined butter and whey butter)",18081564.0
202203,40610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",22467220.0
202203,40620,"Grated or powdered cheese, of all kinds",28019980.0
202203,40630,"Processed cheese, not grated or powdered",13106323.0
