Date of data,Commodity code,Commodity,US dollar
202404,10129,Other horses,2822220.0
202404,10221,Purebred breeding cattle,914586.0
202404,10229,Other cattle,4344074.0
202404,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",4877363.0
202404,10619,Other mammals,678656.0
202404,10620,Reptiles (including snakes and turtles),116768.0
202404,10649,Other insects,28196.0
202404,10690,Other lives animals,4341.0
202404,20120,Other cuts with bone in,890584.0
202404,20130,Boneless,76052649.0
202404,20220,Other cuts with bone in,111144061.0
202404,20230,Boneless,907052921.0
202404,20322,"Hams, shoulders and cuts thereof, with bone in",33646204.0
202404,20329,Other frozen meat of swine,125438687.0
202404,20410,"Carcasses and halfcarcasses of lamb, fresh or chilled",98847.0
202404,20422,"Other sheep cuts with bone in ,fresh or chilled",884444.0
202404,20423,"Boneless,fresh or chilled",86552.0
202404,20430,"Carcasses and halfcarcasses of lamb, frozen",793192.0
202404,20441,"Carcasses and halfcarcasses,frozen",12248005.0
202404,20442,"Other cuts with bone in,frozen",88307040.0
202404,20443,"Boneless meat of sheep,frozen",6775601.0
202404,20450,"Meat of goats,frozen",1035183.0
202404,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",882636.0
202404,20621,"Tongues of bovine animals,frozen",224359.0
202404,20622,"Livers of bovine animals,frozen",1140.0
202404,20629,"Other edible offal of bovine animals,frozen",14615463.0
202404,20641,"Livers,frozen",48059.0
202404,20649,"Other edible offal of swine,frozen",211152189.0
202404,20690,"Other edible offal,frozen",1269300.0
202404,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",107710.0
202404,20714,"Cuts and offal, frozen",216483925.0
202404,20727,"Cuts and offal of turkeys , frozen",4101740.0
202404,20890,"Other meat and edible meat offal,fresh, chilled or frozen",1840905.0
202404,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",2161283.0
202404,21011,"Hams, shoulders and cuts thereof, with bone in",285628.0
202404,21019,Other meat of swine,906269.0
202404,30111,Ornamental fish of freshwater,2523227.0
202404,30119,Other ornamental fish,787551.0
202404,30192,Eels (Anguilla spp),11541112.0
202404,30199,"Live fish,nes",12313197.0
202404,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",882666.0
202404,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",87712742.0
202404,30222,"Plaice (Pleuronectes platessa),fresh or chilled",1672.0
202404,30223,"Sole (Solea spp) ,fresh or chilled",9217.0
202404,30229,"Other flat fish,fresh or chilled",548357.0
202404,30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",20814.0
202404,30234,"Bigeye tunas (Thunnus obesus),fresh or chilled",44470.0
202404,30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",1668870.0
202404,30236,"Southern bluefin tunas (Thunnus maccoyii) ,fresh or chilled",11726.0
202404,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled",43222.0
202404,30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",73262.0
202404,30251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,fresh or chilled",21059.0
202404,30253,"Coalfish (Pollachius virens) ,fresh or chilled",1431.0
202404,30289,"Other fish,fresh or chilled",4608655.0
202404,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",894278.0
202404,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",11987085.0
202404,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",3069457.0
202404,30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",935395.0
202404,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",10395308.0
202404,30326,"Eels (Anguilla spp) , frozen",149851.0
202404,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",21452454.0
202404,30332,"Plaice (Pleuronectes platessa) , frozen",11399.0
202404,30333,"Sole (Solea spp) , frozen",131281.0
202404,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",23812880.0
202404,30342,"Yellowfin tunas (Thunnus albacares),frozen",288403.0
202404,30343,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,frozen",2982797.0
202404,30344,"Bigeye tunas (Thunnus obesus) ,frozen",8445.0
202404,30345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis) ,frozen",558999.0
202404,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",13398052.0
202404,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",131192.0
202404,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",7186079.0
202404,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",1866970.0
202404,30357,"Swordfish (Xiphias gladius) ,frozen",365787.0
202404,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",6349040.0
202404,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",67587081.0
202404,30364,"Haddock (Melanogrammus aeglefinus) ,frozen",11437500.0
202404,30365,"Coalfish (Pollachius virens) ,frozen",3521322.0
202404,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",496946.0
202404,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",103992241.0
202404,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",640581.0
202404,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",2621788.0
202404,30381,"Dogfish and other sharks ,frozen",8497.0
202404,30382,"Rays and skates (Rajidae) ,frozen",97534.0
202404,30383,"Toothfish (Dissostichus spp) ,frozen",12212931.0
202404,30389,"Other fish ,frozen",60453247.0
202404,30391,"Livers, roes and milt,frozen",11611500.0
202404,30392,"Shark fins ,frozen",3899985.0
202404,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",14356470.0
202404,30441,"Fresh or chilled pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha , fresh, chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",3226205.0
202404,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",10831839.0
202404,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",124021.0
202404,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),4130751.0
202404,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",1473515.0
202404,30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",4092.0
202404,30485,Frozen fillets of toothfish (Dissostichus spp),445715.0
202404,30487,"Frozen fillets of tunas (of the genus Thunnus),skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",959381.0
202404,30489,"Frozen fish fillets, n.e.s.",61418.0
202404,30492,"Frozen meat, whether or not minced, of toothfish (Dissostichus spp)",332008.0
