Date of data,Commodity code,Commodity,US dollar
202405,10129,Other horses,3240811.0
202405,10221,Purebred breeding cattle,150000.0
202405,10229,Other cattle,6983511.0
202405,10420,Goats,4487327.0
202405,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",6761998.0
202405,10614,Rabbits and hares,651048.0
202405,10619,Other mammals,1013988.0
202405,10639,Other birds,1997976.0
202405,10649,Other insects,16488.0
202405,10690,Other lives animals,7566.0
202405,20120,Other cuts with bone in,894009.0
202405,20130,Boneless,59707588.0
202405,20210,Carcasses and halfcarcasses,72894.0
202405,20220,Other cuts with bone in,107210970.0
202405,20230,Boneless,947655882.0
202405,20322,"Hams, shoulders and cuts thereof, with bone in",32702191.0
202405,20329,Other frozen meat of swine,123108968.0
202405,20410,"Carcasses and halfcarcasses of lamb, fresh or chilled",73886.0
202405,20422,"Other sheep cuts with bone in ,fresh or chilled",590568.0
202405,20423,"Boneless,fresh or chilled",40730.0
202405,20430,"Carcasses and halfcarcasses of lamb, frozen",992534.0
202405,20441,"Carcasses and halfcarcasses,frozen",10479321.0
202405,20442,"Other cuts with bone in,frozen",79328525.0
202405,20443,"Boneless meat of sheep,frozen",4328936.0
202405,20450,"Meat of goats,frozen",970156.0
202405,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",1831893.0
202405,20610,"Of bovine animals, fresh or chilled",4170.0
202405,20621,"Tongues of bovine animals,frozen",317172.0
202405,20629,"Other edible offal of bovine animals,frozen",14101176.0
202405,20641,"Livers,frozen",9612.0
202405,20649,"Other edible offal of swine,frozen",202268476.0
202405,20690,"Other edible offal,frozen",1806107.0
202405,20714,"Cuts and offal, frozen",264476431.0
202405,20725,"Turkeys,not cut in pieces, frozen",88512.0
202405,20727,"Cuts and offal of turkeys , frozen",4486759.0
202405,20742,"Ducks,not cut in pieces, frozen",42.0
202405,20745,"Other cuts and offal of ducks, frozen",136195.0
202405,20890,"Other meat and edible meat offal,fresh, chilled or frozen",2376130.0
202405,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",1707535.0
202405,21011,"Hams, shoulders and cuts thereof, with bone in",904445.0
202405,21019,Other meat of swine,1316345.0
202405,30111,Ornamental fish of freshwater,2850275.0
202405,30119,Other ornamental fish,884290.0
202405,30192,Eels (Anguilla spp),19886502.0
202405,30199,"Live fish,nes",13376492.0
202405,30211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilledOncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",111376.0
202405,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",1606884.0
202405,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",85320243.0
202405,30222,"Plaice (Pleuronectes platessa),fresh or chilled",3880.0
202405,30223,"Sole (Solea spp) ,fresh or chilled",12636.0
202405,30229,"Other flat fish,fresh or chilled",522445.0
202405,30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",14993.0
202405,30234,"Bigeye tunas (Thunnus obesus),fresh or chilled",28721.0
202405,30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",2360947.0
202405,30236,"Southern bluefin tunas (Thunnus maccoyii) ,fresh or chilled",102812.0
