Date of data,Commodity code,Commodity,US dollar
202502,10129,Other horses,4816871.0
202502,10611,Primates,206727.0
202502,10612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",729707.0
202502,10619,Other mammals,1459772.0
202502,10620,Reptiles (including snakes and turtles),55000.0
202502,10631,Birds of prey,300474.0
202502,10639,Other birds,719000.0
202502,10649,Other insects,462.0
202502,20120,Other cuts with bone in,261564.0
202502,20130,Boneless,54990445.0
202502,20210,Carcasses and halfcarcasses,161.0
202502,20220,Other cuts with bone in,81021265.0
202502,20230,Boneless,862367757.0
202502,20322,"Hams, shoulders and cuts thereof, with bone in",34059282.0
202502,20329,Other frozen meat of swine,137000250.0
202502,20410,"Carcasses and halfcarcasses of lamb, fresh or chilled",486489.0
202502,20422,"Other sheep cuts with bone in ,fresh or chilled",889958.0
202502,20423,"Boneless,fresh or chilled",53592.0
202502,20430,"Carcasses and halfcarcasses of lamb, frozen",1501004.0
202502,20441,"Carcasses and halfcarcasses,frozen",16664433.0
202502,20442,"Other cuts with bone in,frozen",97061298.0
202502,20443,"Boneless meat of sheep,frozen",8013877.0
202502,20450,"Meat of goats,frozen",1687479.0
202502,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",1665152.0
202502,20621,"Tongues of bovine animals,frozen",339014.0
202502,20629,"Other edible offal of bovine animals,frozen",11743393.0
202502,20641,"Livers,frozen",11822.0
202502,20649,"Other edible offal of swine,frozen",173945042.0
202502,20690,"Other edible offal,frozen",557917.0
202502,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",55589.0
202502,20714,"Cuts and offal, frozen",223941939.0
202502,20727,"Cuts and offal of turkeys , frozen",4696152.0
202502,20745,"Other cuts and offal of ducks, frozen",445800.0
202502,20890,"Other meat and edible meat offal,fresh, chilled or frozen",1084019.0
202502,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",780137.0
202502,21011,"Hams, shoulders and cuts thereof, with bone in",259250.0
202502,21019,Other meat of swine,1054984.0
202502,30111,Ornamental fish of freshwater,2098719.0
202502,30119,Other ornamental fish,912450.0
202502,30192,Eels (Anguilla spp),4649224.0
202502,30199,"Live fish,nes",12121642.0
202502,30211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilledOncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",59.0
202502,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",2020381.0
202502,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",93095695.0
202502,30219,"Other salmonidae ,fresh or chilled",114.0
202502,30222,"Plaice (Pleuronectes platessa),fresh or chilled",5582.0
202502,30223,"Sole (Solea spp) ,fresh or chilled",1130.0
202502,30229,"Other flat fish,fresh or chilled",28285.0
202502,30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",678.0
202502,30234,"Bigeye tunas (Thunnus obesus),fresh or chilled",4495.0
202502,30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",2317339.0
202502,30236,"Southern bluefin tunas (Thunnus maccoyii) ,fresh or chilled",155371.0
202502,30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled(Euthynnus (Katsuwonus) pelamis),fresh or chilled",489.0
202502,30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",351962.0
202502,30251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,fresh or chilled",19933.0
202502,30289,"Other fish,fresh or chilled",6938653.0
202502,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",302521.0
202502,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",6404244.0
202502,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",3768391.0
202502,30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",1158508.0
202502,30319,"Other salmonidae,frozen",10011.0
202502,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",4867200.0
202502,30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozenHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",27108.0
202502,30326,"Eels (Anguilla spp) , frozen",139455.0
202502,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",35353375.0
202502,30333,"Sole (Solea spp) , frozen",15265.0
202502,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",15254728.0
202502,30342,"Yellowfin tunas (Thunnus albacares),frozen",1795169.0
202502,30343,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,frozen",4135489.0
202502,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",22936467.0
202502,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",1803016.0
202502,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",20697977.0
202502,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",1645918.0
202502,30357,"Swordfish (Xiphias gladius) ,frozen",121968.0
202502,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",5948585.0
202502,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",32682926.0
202502,30364,"Haddock (Melanogrammus aeglefinus) ,frozen",4453480.0
202502,30365,"Coalfish (Pollachius virens) ,frozen",2540786.0
202502,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",3230411.0
202502,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",44030070.0
202502,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",2263711.0
202502,30381,"Dogfish and other sharks ,frozen",155446.0
202502,30382,"Rays and skates (Rajidae) ,frozen",104092.0
202502,30383,"Toothfish (Dissostichus spp) ,frozen",10254612.0
202502,30389,"Other fish ,frozen",58491784.0
202502,30391,"Livers, roes and milt,frozen",16581161.0
202502,30392,"Shark fins ,frozen",1709333.0
202502,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",15371463.0
202502,30441,"Fresh or chilled pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha , fresh, chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",2321482.0
202502,30453,"Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",182.0
202502,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",4044281.0
202502,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",335464.0
202502,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),9345.0
202502,30473,Frozen fillets of coalfish (Pollachius virens),159602.0
202502,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),1546179.0
202502,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",1465631.0
202502,30482,"Frozen fillets of trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchusclarki, Oncorhynchus aguabonita, Oncorhynchus gilae,Oncorhynchus apache and Oncorhynchus chrysogaster)",209126.0
202502,30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",120516.0
202502,30487,"Frozen fillets of tunas (of the genus Thunnus),skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",845140.0
202502,30489,"Frozen fish fillets, n.e.s.",4605.0
202502,30492,"Frozen meat, whether or not minced, of toothfish (Dissostichus spp)",16513.0
202502,30493,"Frozen meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",291966.0
202502,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",8574778.0
202502,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",551616.0
202502,30499,Frozen fish meat n.e.s. (excluding fillets),5099086.0
202502,30520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",1396277.0
202502,30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",1867.0
202502,30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, trout, tilapia, catfish, carp, eels, Nile perch and snakeheads)",275.0
202502,30554,"Dried herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp), sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp), jacks, crevalles (Caranx spp), cobia (Rachycentron canadum), silver pomfrets (Pampus spp), Pacific saury (Cololabis saira), scads (Decapterus spp), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp), marlins, sailfishes, spearfish (Istiophoridae)",13094.0
202502,30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",6714975.0
202502,30569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",481377.0
202502,30571,"Shark fins, smoked, dried, salted or in brine",697774.0
202502,30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",10830862.0
202502,30579,"Other fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, tails, maws and shark fins)",233909.0
202502,30611,"Frozen rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp)",7970195.0
202502,30612,Frozen lobsters (Homarus spp),1580634.0
202502,30614,Frozen crabs,8357321.0
202502,30615,Frozen norway lobsters (Nephrops norvegicus),1450015.0
202502,30616,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon)",20689789.0
202502,30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",340205771.0
202502,30619,Other frozen crustaceans,3378187.0
202502,30631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",137227043.0
202502,30632,"Lobsters (Homarus spp), whether in shell or not, live, fresh or chilled",54678080.0
202502,30633,"Crabs , whether in shell or not, live, fresh or chilled",136655083.0
202502,30634,"Norway lobsters (Nephrops norvegicus), whether in shell or not, live, fresh or chilled",80630.0
202502,30635,"Coldwater shrimps and prawns (Pandalus spp, Crangon crangon), whether in shell or not, live, fresh or chilled",34424.0
202502,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",4297752.0
202502,30639,"Other crustaceans, live, fresh or chilled",5201660.0
202502,30695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",1646434.0
202502,30711,"Oysters, live, fresh, chilled",1118104.0
202502,30712,"Oysters, frozen",77636.0
202502,30721,"Live, fresh or chilled, scallops and other molluscs of the family Pectinidae",189829.0
202502,30722,Frozen scallops and other molluscs of the family Pectinidae,709961.0
202502,30731,"Live, fresh or chilled, not smoked, mussels (Mytilus spp., Perna spp.), with or without shell",394108.0
202502,30732,"Frozen mussels (Mytilus spp., Perna spp.), with or without shell",1163838.0
202502,30743,"Frozen cuttle fish and squid, with or without shell",44714479.0
202502,30749,"Cuttle fish and squid, smoked, frozen, dried, salted or in brine, with or without shell",1380928.0
202502,30751,"Live, fresh or chilled, not smoked,octopus (Octopus spp.)",12462.0
202502,30752,Frozen octopus (Octopus spp.),1273633.0
202502,30771,"Live, fresh or chilled, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",4033904.0
202502,30772,"Frozen, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",5444882.0
202502,30781,"Live, fresh or chilled abalone (Haliotis spp)",2863512.0
202502,30783,Frozen abalone (Haliotis spp),204335.0
202502,30784,Frozen stromboid conchs (Strombus spp.),239594.0
202502,30787,"Smoked, dried, salted or in brine, even in shell, abalone (Haliotis spp.)",258774.0
202502,30791,"Other molluscs,live/fresh/chilled",19023458.0
202502,30792,Other frozen Molluscs,2034151.0
202502,30811,"Live, fresh or chilled, sea cucumbers (Stichopus japonicus, Holothuroidea)",3727.0
202502,30812,"Frozen sea cucumbers (Stichopus japonicus, Holothuroidea)",728668.0
202502,30821,"Live, fresh or chilled, sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",208982.0
202502,30822,"Frozen sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",150254.0
202502,30830,Jellyfish (Rhopilema spp),1261267.0
202502,30890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)",313737.0
202502,30910,"Flours, meals and pellets of fish, fit for human consumption",32699.0
202502,30990,"Flours, meals and pellets of crustaceans, molluscs and other aquatic invertebrates, fit for human consumption",14108.0
