Date of data,Commodity code,Commodity,US dollar
202507,10129,Other horses,43113842.0
202507,10221,Purebred breeding cattle,416643.0
202507,10229,Other cattle,6286000.0
202507,10310,Purebred breeding swine,2169088.0
202507,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",4747802.0
202507,10611,Primates,13919470.0
202507,10612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",870000.0
202507,10619,Other mammals,1340053.0
202507,10639,Other birds,242858.0
202507,10649,Other insects,1339.0
202507,10690,Other lives animals,2484.0
202507,20120,Other cuts with bone in,651985.0
202507,20130,Boneless,63658826.0
202507,20210,Carcasses and halfcarcasses,1826.0
202507,20220,Other cuts with bone in,107112684.0
202507,20230,Boneless,1151692036.0
202507,20322,"Hams, shoulders and cuts thereof, with bone in",39430528.0
202507,20329,Other frozen meat of swine,141033698.0
202507,20410,"Carcasses and halfcarcasses of lamb, fresh or chilled",87391.0
202507,20422,"Other sheep cuts with bone in ,fresh or chilled",1135683.0
202507,20423,"Boneless,fresh or chilled",97172.0
202507,20430,"Carcasses and halfcarcasses of lamb, frozen",415071.0
202507,20441,"Carcasses and halfcarcasses,frozen",4824410.0
202507,20442,"Other cuts with bone in,frozen",91870353.0
202507,20443,"Boneless meat of sheep,frozen",3561934.0
202507,20450,"Meat of goats,frozen",2090044.0
202507,20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",1731739.0
202507,20622,"Livers of bovine animals,frozen",2084.0
202507,20629,"Other edible offal of bovine animals,frozen",12007511.0
202507,20649,"Other edible offal of swine,frozen",208567123.0
202507,20690,"Other edible offal,frozen",1158957.0
202507,20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",65616.0
202507,20714,"Cuts and offal, frozen",152992984.0
202507,20727,"Cuts and offal of turkeys , frozen",3055499.0
202507,20745,"Other cuts and offal of ducks, frozen",126695.0
202507,20890,"Other meat and edible meat offal,fresh, chilled or frozen",1401727.0
202507,20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",695890.0
202507,21011,"Hams, shoulders and cuts thereof, with bone in",1840195.0
202507,21019,Other meat of swine,1044692.0
202507,30111,Ornamental fish of freshwater,2376355.0
202507,30119,Other ornamental fish,868353.0
202507,30192,Eels (Anguilla spp),579099.0
202507,30199,"Live fish,nes",12657594.0
202507,30211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilledOncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",68147.0
202507,30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",1160787.0
202507,30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",107701074.0
202507,30222,"Plaice (Pleuronectes platessa),fresh or chilled",6526.0
202507,30223,"Sole (Solea spp) ,fresh or chilled",1276.0
202507,30229,"Other flat fish,fresh or chilled",643822.0
202507,30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",3555.0
202507,30234,"Bigeye tunas (Thunnus obesus),fresh or chilled",11934.0
202507,30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",2943086.0
202507,30236,"Southern bluefin tunas (Thunnus maccoyii) ,fresh or chilled",300172.0
202507,30241,"Herrings (Clupea harengus, Clupea pallasii) ,fresh or chilled,fresh or chilled",565570.0
202507,30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",803004.0
202507,30251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,fresh or chilled",7005.0
202507,30289,"Other fish,fresh or chilled",4634736.0
202507,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",1355695.0
202507,30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",7767806.0
202507,30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",1592696.0
202507,30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",12260221.0
202507,30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozenHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",26332.0
202507,30326,"Eels (Anguilla spp) , frozen",40664.0
202507,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",24147753.0
202507,30332,"Plaice (Pleuronectes platessa) , frozen",9105.0
202507,30333,"Sole (Solea spp) , frozen",480449.0
202507,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",24708588.0
202507,30342,"Yellowfin tunas (Thunnus albacares),frozen",1078675.0
202507,30343,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,frozen",6709063.0
202507,30344,"Bigeye tunas (Thunnus obesus) ,frozen",205816.0
202507,30345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis) ,frozen",145545.0
202507,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",2145434.0
202507,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",2226320.0
202507,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",4531392.0
202507,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",1996283.0
202507,30356,"Cobia (Rachycentron canadum) ,frozen",13988.0
202507,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",5915056.0
202507,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",68757783.0
202507,30364,"Haddock (Melanogrammus aeglefinus) ,frozen",22500465.0
202507,30365,"Coalfish (Pollachius virens) ,frozen",7768910.0
202507,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",2415208.0
202507,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",44276537.0
202507,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",4161477.0
202507,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",1508790.0
202507,30381,"Dogfish and other sharks ,frozen",187748.0
202507,30382,"Rays and skates (Rajidae) ,frozen",57186.0
202507,30383,"Toothfish (Dissostichus spp) ,frozen",10116544.0
202507,30384,"Seabass (Dicentrarchus spp) ,frozen",37096.0
202507,30389,"Other fish ,frozen",76157772.0
202507,30391,"Livers, roes and milt,frozen",9415807.0
202507,30392,"Shark fins ,frozen",2029479.0
202507,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",10898549.0
202507,30441,"Fresh or chilled pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha , fresh, chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",2499947.0
202507,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",13788890.0
202507,30463,Frozen fillets of nile Perch (Lates niloticus),184497.0
202507,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",872821.0
202507,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),1308194.0
